model,dataset,sampler,num_frames,n_items,n_instances,I_Acc,I_Acc_lo,I_Acc_hi,Q_Acc,V_Acc,Acc,yes_rate,TP,FP,FN,TN,invalid,sensitivity,specificity,youden_J,J_lo,J_hi,z_I_Acc_vs_chance,z_Acc_vs_chance
Eagle-2.5-8B,mbhuman,uniform,1,240,60,0.0,-0.0,6.02,5.0,8.33,49.17,69.17,82,84,38,36,0,68.33,30.0,-1.67,-13.35,10.02,-2.0,-0.26
Eagle-2.5-8B,mbhuman,uniform,4,240,60,6.67,2.62,15.93,13.33,21.67,54.58,72.92,93,82,27,38,0,77.5,31.67,9.17,-2.02,20.35,0.13,1.42
Eagle-2.5-8B,mbhuman,uniform,8,240,60,10.0,4.66,20.15,16.67,25.83,56.25,68.75,90,75,30,45,0,75.0,37.5,12.5,0.88,24.12,1.2,1.94
Eagle-2.5-8B,mbhuman,uniform,16,240,60,10.0,4.66,20.15,19.17,27.5,57.92,68.75,92,73,28,47,0,76.67,39.17,15.83,4.28,27.39,1.2,2.45
Eagle-2.5-8B,mbhuman,uniform,24,240,60,11.67,5.77,22.18,19.17,27.5,57.92,69.58,93,74,27,46,0,77.5,38.33,15.83,4.37,27.3,1.73,2.45
Eagle-2.5-8B,mbhuman,random,1,240,60,0.0,-0.0,6.02,5.0,7.5,47.92,69.58,81,86,39,34,0,67.5,28.33,-4.17,-15.8,7.46,-2.0,-0.65
Eagle-2.5-8B,mbhuman,random,4,240,60,1.67,0.29,8.86,14.17,21.67,55.42,72.92,94,81,26,39,0,78.33,32.5,10.83,-0.33,21.99,-1.47,1.68
Eagle-2.5-8B,mbhuman,random,8,240,60,6.67,2.62,15.93,15.83,25.0,55.42,67.08,87,74,33,46,0,72.5,38.33,10.83,-0.98,22.64,0.13,1.68
Eagle-2.5-8B,mbhuman,random,16,240,60,10.0,4.66,20.15,18.33,27.5,57.5,69.17,92,74,28,46,0,76.67,38.33,15.0,3.47,26.53,1.2,2.32
Eagle-2.5-8B,mbhuman,random,24,240,60,10.0,4.66,20.15,19.17,25.0,56.67,70.0,92,76,28,44,0,76.67,36.67,13.33,1.86,24.81,1.2,2.07
Eagle-2.5-8B,mbhuman,hornet,1,240,60,0.0,-0.0,6.02,5.0,10.83,50.42,53.75,65,64,55,56,0,54.17,46.67,0.83,-11.78,13.45,-2.0,0.13
Eagle-2.5-8B,mbhuman,hornet,4,240,60,0.0,-0.0,6.02,7.5,16.67,50.0,54.17,65,65,55,55,0,54.17,45.83,0.0,-12.61,12.61,-2.0,0.0
Eagle-2.5-8B,mbhuman,hornet,8,240,60,6.67,2.62,15.93,15.0,20.83,54.58,50.42,66,55,54,65,0,55.0,54.17,9.17,-3.43,21.76,0.13,1.42
Eagle-2.5-8B,mbhuman,hornet,16,240,60,8.33,3.61,18.07,21.67,30.0,58.75,57.92,80,59,40,61,0,66.67,50.83,17.5,5.21,29.79,0.67,2.71
Eagle-2.5-8B,mbhuman,hornet,24,240,60,11.67,5.77,22.18,21.67,29.17,57.92,58.75,80,61,40,59,0,66.67,49.17,15.83,3.54,28.13,1.73,2.45
Eagle-2.5-8B,mbhuman,f2cfull,1,240,60,1.67,0.29,8.86,6.67,10.0,50.0,70.0,84,84,36,36,0,70.0,30.0,0.0,-11.6,11.6,-1.47,0.0
Eagle-2.5-8B,mbhuman,f2cfull,4,240,60,1.67,0.29,8.86,13.33,16.67,54.17,73.33,93,83,27,37,0,77.5,30.83,8.33,-2.81,19.47,-1.47,1.29
Eagle-2.5-8B,mbhuman,f2cfull,8,240,60,1.67,0.29,8.86,13.33,15.83,54.17,74.17,94,84,26,36,0,78.33,30.0,8.33,-2.69,19.36,-1.47,1.29
Eagle-2.5-8B,mbhuman,f2cfull,16,240,60,1.67,0.29,8.86,13.33,15.83,54.17,74.17,94,84,26,36,0,78.33,30.0,8.33,-2.69,19.36,-1.47,1.29
Eagle-2.5-8B,mbhuman,f2cfull,24,240,60,1.67,0.29,8.86,13.33,15.83,54.17,74.17,94,84,26,36,0,78.33,30.0,8.33,-2.69,19.36,-1.47,1.29
