model,dataset,sampler,num_frames,n,Acc,Acc_lo,Acc_hi,invalid,short_Acc,medium_Acc,long_Acc,majority_baseline,chance
Eagle-2.5-8B,videomme,uniform,1,2700,47.41,45.53,49.29,0,47.67,47.44,47.11,27.22,25.0
Eagle-2.5-8B,videomme,uniform,4,2700,54.52,52.64,56.39,0,60.67,52.11,50.78,27.22,25.0
Eagle-2.5-8B,videomme,uniform,8,2700,58.85,56.98,60.69,0,69.11,56.0,51.44,27.22,25.0
Eagle-2.5-8B,videomme,uniform,16,2700,62.22,60.38,64.03,0,73.33,60.33,53.0,27.22,25.0
Eagle-2.5-8B,videomme,uniform,24,2700,65.44,63.63,67.22,0,77.0,63.11,56.22,27.22,25.0
Eagle-2.5-8B,videomme,random,1,2700,50.93,49.04,52.81,0,54.44,50.11,48.22,27.22,25.0
Eagle-2.5-8B,videomme,random,4,2700,54.7,52.82,56.57,0,60.56,53.89,49.67,27.22,25.0
Eagle-2.5-8B,videomme,random,8,2700,59.52,57.65,61.36,0,66.0,59.11,53.44,27.22,25.0
Eagle-2.5-8B,videomme,random,16,2700,61.3,59.44,63.12,0,70.22,59.11,54.56,27.22,25.0
Eagle-2.5-8B,videomme,random,24,2700,63.04,61.2,64.84,0,73.0,60.89,55.22,27.22,25.0
Eagle-2.5-8B,videomme,hornet,1,2700,48.63,46.75,50.52,0,51.11,46.78,48.0,27.22,25.0
Eagle-2.5-8B,videomme,hornet,4,2700,52.78,50.89,54.66,0,56.67,51.11,50.56,27.22,25.0
Eagle-2.5-8B,videomme,hornet,8,2700,56.93,55.05,58.78,0,64.11,54.56,52.11,27.22,25.0
Eagle-2.5-8B,videomme,hornet,16,2700,61.63,59.78,63.45,0,71.33,59.33,54.22,27.22,25.0
Eagle-2.5-8B,videomme,hornet,24,2700,64.22,62.4,66.01,0,74.89,61.0,56.78,27.22,25.0
