strategy,nframes,ablation,index,instance_id,video_path,question,gold,model_output,extracted,correct,frame_indices,f2c_scales,error,pred_file
random,8,none,0,0,videos/02_00_0.mp4,Does the person stir faster the first time compared to the second time?,yes,No,no,0,38 69 102 200 208 243 246 335,,,eagle2_5_8b_mb_default_random8.json
random,8,none,1,0,videos/02_00_1.mp4,Does the person stir faster the first time compared to the second time?,no,No,no,1,51 59 98 169 178 212 227 269,,,eagle2_5_8b_mb_default_random8.json
random,8,none,2,0,videos/02_00_0.mp4,Does the person stir slower the first time compared to the second time?,no,Yes,yes,0,38 69 102 200 208 243 246 335,,,eagle2_5_8b_mb_default_random8.json
random,8,none,3,0,videos/02_00_1.mp4,Does the person stir slower the first time compared to the second time?,yes,Yes,yes,1,51 59 98 169 178 212 227 269,,,eagle2_5_8b_mb_default_random8.json
random,8,none,4,1,videos/02_01_0.mp4,Does the drawer close faster the first time compared to the second time?,yes,No,no,0,13 71 109 113 118 125 152 187,,,eagle2_5_8b_mb_default_random8.json
random,8,none,5,1,videos/02_01_1.mp4,Does the drawer close faster the first time compared to the second time?,no,No,no,1,3 38 75 127 146 147 170 182,,,eagle2_5_8b_mb_default_random8.json
random,8,none,6,1,videos/02_01_0.mp4,Does the drawer close slower the first time compared to the second time?,no,No,no,1,13 71 109 113 118 125 152 187,,,eagle2_5_8b_mb_default_random8.json
random,8,none,7,1,videos/02_01_1.mp4,Does the drawer close slower the first time compared to the second time?,yes,No,no,0,3 38 75 127 146 147 170 182,,,eagle2_5_8b_mb_default_random8.json
random,8,none,8,2,videos/02_02_0.mp4,Does the person open their hand faster the first time compared to the second time?,yes,No,no,0,11 31 38 55 70 84 85 102,,,eagle2_5_8b_mb_default_random8.json
random,8,none,9,2,videos/02_02_1.mp4,Does the person open their hand faster the first time compared to the second time?,no,Yes,yes,0,23 25 68 71 72 84 110 116,,,eagle2_5_8b_mb_default_random8.json
random,8,none,10,2,videos/02_02_0.mp4,Does the person open their hand slower the first time compared to the second time?,no,Yes,yes,0,11 31 38 55 70 84 85 102,,,eagle2_5_8b_mb_default_random8.json
random,8,none,11,2,videos/02_02_1.mp4,Does the person open their hand slower the first time compared to the second time?,yes,Yes,yes,1,23 25 68 71 72 84 110 116,,,eagle2_5_8b_mb_default_random8.json
random,8,none,12,3,videos/02_03_0.mp4,Does the person press the pillow faster the first time compared to the second time?,yes,Yes,yes,1,29 37 41 93 94 115 126 137,,,eagle2_5_8b_mb_default_random8.json
random,8,none,13,3,videos/02_03_1.mp4,Does the person press the pillow faster the first time compared to the second time?,no,No,no,1,2 22 31 57 68 101 117 129,,,eagle2_5_8b_mb_default_random8.json
random,8,none,14,3,videos/02_03_0.mp4,Does the person press the pillow slower the first time compared to the second time?,no,Yes,yes,0,29 37 41 93 94 115 126 137,,,eagle2_5_8b_mb_default_random8.json
random,8,none,15,3,videos/02_03_1.mp4,Does the person press the pillow slower the first time compared to the second time?,yes,Yes,yes,1,2 22 31 57 68 101 117 129,,,eagle2_5_8b_mb_default_random8.json
random,8,none,16,4,videos/02_04_0.mp4,"Once off the ramp, does the ball move faster the first time compared to the second time?",yes,No,no,0,13 14 26 45 46 53 57 76,,,eagle2_5_8b_mb_default_random8.json
random,8,none,17,4,videos/02_04_1.mp4,"Once off the ramp, does the ball move faster the first time compared to the second time?",no,No,no,1,16 17 18 24 28 46 60 67,,,eagle2_5_8b_mb_default_random8.json
random,8,none,18,4,videos/02_04_0.mp4,"Once off the ramp, does the ball move slower the first time compared to the second time?",no,No,no,1,13 14 26 45 46 53 57 76,,,eagle2_5_8b_mb_default_random8.json
random,8,none,19,4,videos/02_04_1.mp4,"Once off the ramp, does the ball move slower the first time compared to the second time?",yes,No,no,0,16 17 18 24 28 46 60 67,,,eagle2_5_8b_mb_default_random8.json
random,8,none,20,5,videos/02_05_0.mp4,Does the ball travel faster in the second push compared to the first?,yes,Yes,yes,1,39 75 93 113 128 170 224 231,,,eagle2_5_8b_mb_default_random8.json
random,8,none,21,5,videos/02_05_1.mp4,Does the ball travel faster in the second push compared to the first?,no,Yes,yes,0,18 49 81 120 137 189 211 223,,,eagle2_5_8b_mb_default_random8.json
random,8,none,22,5,videos/02_05_0.mp4,Does the ball travel faster in the first push compared to the second?,no,Yes,yes,0,39 75 93 113 128 170 224 231,,,eagle2_5_8b_mb_default_random8.json
random,8,none,23,5,videos/02_05_1.mp4,Does the ball travel faster in the first push compared to the second?,yes,Yes,yes,1,18 49 81 120 137 189 211 223,,,eagle2_5_8b_mb_default_random8.json
random,8,none,24,6,videos/02_05_0.mp4,Is the first push weaker than the second one?,yes,Yes,yes,1,39 75 93 113 128 170 224 231,,,eagle2_5_8b_mb_default_random8.json
random,8,none,25,6,videos/02_05_1.mp4,Is the first push weaker than the second one?,no,Yes,yes,0,18 49 81 120 137 189 211 223,,,eagle2_5_8b_mb_default_random8.json
random,8,none,26,6,videos/02_05_0.mp4,Is the first push stronger than the second one?,no,Yes,yes,0,39 75 93 113 128 170 224 231,,,eagle2_5_8b_mb_default_random8.json
random,8,none,27,6,videos/02_05_1.mp4,Is the first push stronger than the second one?,yes,Yes,yes,1,18 49 81 120 137 189 211 223,,,eagle2_5_8b_mb_default_random8.json
random,8,none,28,7,videos/09_00_0.mp4,Does the box travel farther in the second push compared to the first?,yes,Yes,yes,1,32 41 95 99 121 127 137 154,,,eagle2_5_8b_mb_default_random8.json
random,8,none,29,7,videos/09_00_1.mp4,Does the box travel farther in the second push compared to the first?,no,Yes,yes,0,5 19 61 94 108 116 121 154,,,eagle2_5_8b_mb_default_random8.json
random,8,none,30,7,videos/09_00_0.mp4,Does the box travel farther in the first push compared to the second?,no,Yes,yes,0,32 41 95 99 121 127 137 154,,,eagle2_5_8b_mb_default_random8.json
random,8,none,31,7,videos/09_00_1.mp4,Does the box travel farther in the first push compared to the second?,yes,Yes,yes,1,5 19 61 94 108 116 121 154,,,eagle2_5_8b_mb_default_random8.json
random,8,none,32,8,videos/09_00_0.mp4,Is the first push weaker than the second one?,yes,Yes,yes,1,32 41 95 99 121 127 137 154,,,eagle2_5_8b_mb_default_random8.json
random,8,none,33,8,videos/09_00_1.mp4,Is the first push weaker than the second one?,no,Yes,yes,0,5 19 61 94 108 116 121 154,,,eagle2_5_8b_mb_default_random8.json
random,8,none,34,8,videos/09_00_0.mp4,Is the first push stronger than the second one?,no,Yes,yes,0,32 41 95 99 121 127 137 154,,,eagle2_5_8b_mb_default_random8.json
random,8,none,35,8,videos/09_00_1.mp4,Is the first push stronger than the second one?,yes,Yes,yes,1,5 19 61 94 108 116 121 154,,,eagle2_5_8b_mb_default_random8.json
random,8,none,36,9,videos/09_01_0.mp4,Does the puck travel farther in the second push compared to the first?,yes,Yes,yes,1,25 31 39 57 69 94 98 104,,,eagle2_5_8b_mb_default_random8.json
random,8,none,37,9,videos/09_01_1.mp4,Does the puck travel farther in the second push compared to the first?,no,Yes,yes,0,3 26 67 70 78 80 91 103,,,eagle2_5_8b_mb_default_random8.json
random,8,none,38,9,videos/09_01_0.mp4,Does the puck travel farther in the first push compared to the second?,no,Yes,yes,0,25 31 39 57 69 94 98 104,,,eagle2_5_8b_mb_default_random8.json
random,8,none,39,9,videos/09_01_1.mp4,Does the puck travel farther in the first push compared to the second?,yes,Yes,yes,1,3 26 67 70 78 80 91 103,,,eagle2_5_8b_mb_default_random8.json
random,8,none,40,10,videos/09_01_0.mp4,Is the first push weaker than the second one?,yes,Yes,yes,1,25 31 39 57 69 94 98 104,,,eagle2_5_8b_mb_default_random8.json
random,8,none,41,10,videos/09_01_1.mp4,Is the first push weaker than the second one?,no,Yes,yes,0,3 26 67 70 78 80 91 103,,,eagle2_5_8b_mb_default_random8.json
random,8,none,42,10,videos/09_01_0.mp4,Is the first push stronger than the second one?,no,Yes,yes,0,25 31 39 57 69 94 98 104,,,eagle2_5_8b_mb_default_random8.json
random,8,none,43,10,videos/09_01_1.mp4,Is the first push stronger than the second one?,yes,Yes,yes,1,3 26 67 70 78 80 91 103,,,eagle2_5_8b_mb_default_random8.json
random,8,none,44,11,videos/09_02_0.mp4,Does the toy car travel farther in the second push compared to the first?,yes,Yes,yes,1,33 55 63 85 105 106 113 131,,,eagle2_5_8b_mb_default_random8.json
random,8,none,45,11,videos/09_02_1.mp4,Does the toy car travel farther in the second push compared to the first?,no,Yes,yes,0,23 31 39 44 67 83 92 125,,,eagle2_5_8b_mb_default_random8.json
random,8,none,46,11,videos/09_02_0.mp4,Does the toy car travel farther in the first push compared to the second?,no,Yes,yes,0,33 55 63 85 105 106 113 131,,,eagle2_5_8b_mb_default_random8.json
random,8,none,47,11,videos/09_02_1.mp4,Does the toy car travel farther in the first push compared to the second?,yes,Yes,yes,1,23 31 39 44 67 83 92 125,,,eagle2_5_8b_mb_default_random8.json
random,8,none,48,12,videos/09_02_0.mp4,Is the first push weaker than the second one?,yes,Yes,yes,1,33 55 63 85 105 106 113 131,,,eagle2_5_8b_mb_default_random8.json
random,8,none,49,12,videos/09_02_1.mp4,Is the first push weaker than the second one?,no,Yes,yes,0,23 31 39 44 67 83 92 125,,,eagle2_5_8b_mb_default_random8.json
random,8,none,50,12,videos/09_02_0.mp4,Is the first push stronger than the second one?,no,Yes,yes,0,33 55 63 85 105 106 113 131,,,eagle2_5_8b_mb_default_random8.json
random,8,none,51,12,videos/09_02_1.mp4,Is the first push stronger than the second one?,yes,Yes,yes,1,23 31 39 44 67 83 92 125,,,eagle2_5_8b_mb_default_random8.json
random,8,none,52,13,videos/09_03_0.mp4,Does the ball travel farther in the second push compared to the first?,yes,Yes,yes,1,47 51 96 100 121 185 232 243,,,eagle2_5_8b_mb_default_random8.json
random,8,none,53,13,videos/09_03_1.mp4,Does the ball travel farther in the second push compared to the first?,no,Yes,yes,0,0 36 84 134 160 179 189 209,,,eagle2_5_8b_mb_default_random8.json
random,8,none,54,13,videos/09_03_0.mp4,Does the ball travel farther in the first push compared to the second?,no,Yes,yes,0,47 51 96 100 121 185 232 243,,,eagle2_5_8b_mb_default_random8.json
random,8,none,55,13,videos/09_03_1.mp4,Does the ball travel farther in the first push compared to the second?,yes,Yes,yes,1,0 36 84 134 160 179 189 209,,,eagle2_5_8b_mb_default_random8.json
random,8,none,56,14,videos/09_03_0.mp4,Is the first push weaker than the second one?,yes,Yes,yes,1,47 51 96 100 121 185 232 243,,,eagle2_5_8b_mb_default_random8.json
random,8,none,57,14,videos/09_03_1.mp4,Is the first push weaker than the second one?,no,Yes,yes,0,0 36 84 134 160 179 189 209,,,eagle2_5_8b_mb_default_random8.json
random,8,none,58,14,videos/09_03_0.mp4,Is the first push stronger than the second one?,no,Yes,yes,0,47 51 96 100 121 185 232 243,,,eagle2_5_8b_mb_default_random8.json
random,8,none,59,14,videos/09_03_1.mp4,Is the first push stronger than the second one?,yes,Yes,yes,1,0 36 84 134 160 179 189 209,,,eagle2_5_8b_mb_default_random8.json
random,8,none,60,15,videos/09_04_0.mp4,Does the ball travel farther in the second push compared to the first?,yes,Yes,yes,1,56 186 292 318 345 440 441 456,,,eagle2_5_8b_mb_default_random8.json
random,8,none,61,15,videos/09_04_1.mp4,Does the ball travel farther in the second push compared to the first?,no,Yes,yes,0,7 225 227 264 316 326 346 443,,,eagle2_5_8b_mb_default_random8.json
