model,dataset,sampler,num_frames,n_items,n_instances,I_Acc,I_Acc_lo,I_Acc_hi,Q_Acc,V_Acc,Acc,yes_rate,TP,FP,FN,TN,invalid,sensitivity,specificity,youden_J,J_lo,J_hi,z_I_Acc_vs_chance,z_Acc_vs_chance
GPT-5.6-Luna-288x512,mbhuman,uniform,1,240,60,0.0,-0.0,6.02,1.67,1.67,49.17,2.5,2,4,118,116,0,1.67,96.67,-1.67,-5.61,2.28,-2.0,-0.26
GPT-5.6-Luna-288x512,mbhuman,uniform,4,240,60,5.0,1.71,13.7,23.33,27.5,57.08,50.42,69,52,51,68,0,57.5,56.67,14.17,1.64,26.69,-0.4,2.19
GPT-5.6-Luna-288x512,mbhuman,uniform,8,240,60,8.33,3.61,18.07,25.83,20.83,54.58,61.25,79,68,41,52,0,65.83,43.33,9.17,-3.11,21.44,0.67,1.42
GPT-5.6-Luna-288x512,mbhuman,uniform,16,240,60,8.33,3.61,18.07,25.0,25.83,56.67,68.33,90,74,30,46,0,75.0,38.33,13.33,1.68,24.98,0.67,2.07
GPT-5.6-Luna-288x512,mbhuman,uniform,24,240,60,8.33,3.61,18.07,22.5,22.5,55.0,69.17,89,77,31,43,0,74.17,35.83,10.0,-1.62,21.62,0.67,1.55
GPT-5.6-Luna-288x512,mbhuman,random,1,240,60,0.0,-0.0,6.02,3.33,3.33,50.83,2.5,4,2,116,118,0,3.33,98.33,1.67,-2.28,5.61,-2.0,0.26
GPT-5.6-Luna-288x512,mbhuman,random,4,240,60,5.0,1.71,13.7,25.83,28.33,56.67,37.5,53,37,67,83,0,44.17,69.17,13.33,1.2,25.47,-0.4,2.07
GPT-5.6-Luna-288x512,mbhuman,random,8,240,60,10.0,4.66,20.15,25.0,25.83,52.5,59.17,74,68,46,52,0,61.67,43.33,5.0,-7.42,17.42,1.2,0.77
GPT-5.6-Luna-288x512,mbhuman,random,16,240,60,10.0,4.66,20.15,25.0,23.33,55.42,67.92,88,75,32,45,0,73.33,37.5,10.83,-0.9,22.57,1.2,1.68
GPT-5.6-Luna-288x512,mbhuman,random,24,240,60,8.33,3.61,18.07,21.67,24.17,56.25,74.58,97,82,23,38,0,80.83,31.67,12.5,1.6,23.4,0.67,1.94
GPT-5.6-Luna-288x512,mbhuman,hornet,1,240,60,0.0,-0.0,6.02,3.33,3.33,51.67,1.67,4,0,116,120,0,3.33,100.0,3.33,0.12,6.55,-2.0,0.52
GPT-5.6-Luna-288x512,mbhuman,hornet,4,240,60,5.0,1.71,13.7,18.33,14.17,51.67,31.67,40,36,80,84,0,33.33,70.0,3.33,-8.43,15.1,-0.4,0.52
GPT-5.6-Luna-288x512,mbhuman,hornet,8,240,60,5.0,1.71,13.7,17.5,18.33,52.5,44.17,56,50,64,70,0,46.67,58.33,5.0,-7.55,17.55,-0.4,0.77
GPT-5.6-Luna-288x512,mbhuman,hornet,16,240,60,6.67,2.62,15.93,17.5,18.33,50.42,58.75,71,70,49,50,0,59.17,41.67,0.83,-11.62,13.29,0.13,0.13
GPT-5.6-Luna-288x512,mbhuman,hornet,24,240,60,10.0,4.66,20.15,23.33,27.5,55.0,61.67,80,68,40,52,0,66.67,43.33,10.0,-2.24,22.24,1.2,1.55
