model,dataset,sampler,num_frames,n_items,n_instances,I_Acc,I_Acc_lo,I_Acc_hi,Q_Acc,V_Acc,Acc,yes_rate,TP,FP,FN,TN,invalid,sensitivity,specificity,youden_J,J_lo,J_hi,z_I_Acc_vs_chance,z_Acc_vs_chance
GPT-5.6-Luna-720x1280,mbhuman,uniform,1,240,60,0.0,-0.0,6.02,1.67,1.67,50.0,1.67,2,2,118,118,0,1.67,98.33,0.0,-3.24,3.24,-2.0,0.0
GPT-5.6-Luna-720x1280,mbhuman,uniform,4,240,60,15.0,8.1,26.11,25.83,27.5,58.75,63.75,87,66,33,54,0,72.5,45.0,17.5,5.54,29.46,2.8,2.71
GPT-5.6-Luna-720x1280,mbhuman,uniform,8,240,60,15.0,8.1,26.11,27.5,29.17,60.42,69.58,96,71,24,49,0,80.0,40.83,20.83,9.49,32.17,2.8,3.23
GPT-5.6-Luna-720x1280,mbhuman,uniform,16,240,60,11.67,5.77,22.18,20.83,24.17,55.83,70.83,92,78,28,42,0,76.67,35.0,11.67,0.26,23.07,1.73,1.81
GPT-5.6-Luna-720x1280,mbhuman,uniform,24,240,60,10.0,4.66,20.15,20.83,22.5,56.67,74.17,97,81,23,39,0,80.83,32.5,13.33,2.39,24.28,1.2,2.07
GPT-5.6-Luna-720x1280,mbhuman,random,1,240,60,1.67,0.29,8.86,5.0,5.0,52.08,3.75,7,2,113,118,0,5.83,98.33,4.17,-0.61,8.94,-1.47,0.65
GPT-5.6-Luna-720x1280,mbhuman,random,4,240,60,13.33,6.91,24.17,37.5,36.67,62.08,50.42,75,46,45,74,0,62.5,61.67,24.17,11.89,36.44,2.27,3.74
GPT-5.6-Luna-720x1280,mbhuman,random,8,240,60,15.0,8.1,26.11,30.83,30.83,60.83,65.0,91,65,29,55,0,75.83,45.83,21.67,9.91,33.42,2.8,3.36
GPT-5.6-Luna-720x1280,mbhuman,random,16,240,60,13.33,6.91,24.17,24.17,25.83,56.25,70.42,92,77,28,43,0,76.67,35.83,12.5,1.06,23.94,2.27,1.94
GPT-5.6-Luna-720x1280,mbhuman,random,24,240,60,13.33,6.91,24.17,23.33,25.83,57.08,72.08,95,78,25,42,0,79.17,35.0,14.17,2.96,25.38,2.27,2.19
GPT-5.6-Luna-720x1280,mbhuman,hornet,1,240,60,0.0,-0.0,6.02,4.17,4.17,52.08,2.92,6,1,114,119,0,5.0,99.17,4.17,-0.06,8.39,-2.0,0.65
GPT-5.6-Luna-720x1280,mbhuman,hornet,4,240,60,6.67,2.62,15.93,20.0,15.83,52.92,37.08,48,41,72,79,0,40.0,65.83,5.83,-6.37,18.03,0.13,0.9
GPT-5.6-Luna-720x1280,mbhuman,hornet,8,240,60,6.67,2.62,15.93,22.5,20.83,55.0,46.67,62,50,58,70,0,51.67,58.33,10.0,-2.56,22.56,0.13,1.55
GPT-5.6-Luna-720x1280,mbhuman,hornet,16,240,60,8.33,3.61,18.07,25.83,26.67,54.58,63.75,82,71,38,49,0,68.33,40.83,9.17,-2.94,21.28,0.67,1.42
GPT-5.6-Luna-720x1280,mbhuman,hornet,24,240,60,10.0,4.66,20.15,23.33,20.0,52.5,72.5,90,84,30,36,0,75.0,30.0,5.0,-6.28,16.28,1.2,0.77
