model,dataset,sampler,num_frames,n_items,n_instances,I_Acc,I_Acc_lo,I_Acc_hi,Q_Acc,V_Acc,Acc,yes_rate,TP,FP,FN,TN,invalid,sensitivity,specificity,youden_J,J_lo,J_hi,z_I_Acc_vs_chance,z_Acc_vs_chance
Gemini-3.1-Pro,mbhuman,uniform,1,240,60,0.0,-0.0,6.02,10.0,21.67,49.58,27.31,32,33,86,87,2,27.12,72.5,-0.38,-11.7,10.94,-2.0,-0.13
Gemini-3.1-Pro,mbhuman,uniform,4,240,60,41.67,30.06,54.27,52.5,59.17,72.92,43.22,80,22,39,95,4,67.23,81.2,48.42,37.41,59.44,11.33,7.1
Gemini-3.1-Pro,mbhuman,uniform,8,240,60,45.0,33.09,57.51,60.83,62.5,77.08,48.54,91,25,29,94,1,75.83,78.99,54.82,44.23,65.42,12.4,8.39
Gemini-3.1-Pro,mbhuman,uniform,16,240,60,53.33,40.89,65.37,65.0,68.33,79.17,48.33,93,23,27,97,0,77.5,80.83,58.33,48.07,68.6,15.07,9.04
Gemini-3.1-Pro,mbhuman,uniform,24,240,60,60.0,47.37,71.43,69.17,71.67,80.83,50.83,98,24,22,96,0,81.67,80.0,61.67,51.71,71.62,17.2,9.55
Gemini-3.1-Pro,mbhuman,random,1,240,60,8.33,3.61,18.07,20.83,23.33,52.5,29.41,38,32,80,88,2,32.2,73.33,5.54,-6.03,17.1,0.67,0.77
Gemini-3.1-Pro,mbhuman,random,4,240,60,26.67,17.13,39.01,40.0,46.67,66.67,36.6,64,22,53,96,5,54.7,81.36,36.06,24.62,47.49,6.53,5.16
Gemini-3.1-Pro,mbhuman,random,8,240,60,40.0,28.57,52.63,52.5,55.83,71.67,46.81,83,27,36,89,5,69.75,76.72,46.47,35.19,57.75,10.8,6.71
Gemini-3.1-Pro,mbhuman,random,16,240,60,48.33,36.17,60.69,62.5,65.0,77.08,52.08,95,30,25,90,0,79.17,75.0,54.17,43.54,64.79,13.47,8.39
Gemini-3.1-Pro,mbhuman,random,24,240,60,46.67,34.63,59.11,58.33,61.67,75.0,50.83,91,31,29,89,0,75.83,74.17,50.0,39.05,60.95,12.93,7.75
Gemini-3.1-Pro,mbhuman,hornet,1,240,60,10.0,4.66,20.15,22.5,32.5,57.5,35.0,51,33,69,87,0,42.5,72.5,15.0,3.08,26.92,1.2,2.32
Gemini-3.1-Pro,mbhuman,hornet,4,240,60,8.33,3.61,18.07,19.17,22.5,54.58,20.25,31,17,89,100,3,25.83,85.47,11.3,1.2,21.41,0.67,1.42
Gemini-3.1-Pro,mbhuman,hornet,8,240,60,8.33,3.61,18.07,24.17,26.67,56.67,30.67,45,28,74,91,2,37.82,76.47,14.29,2.71,25.86,0.67,2.07
Gemini-3.1-Pro,mbhuman,hornet,16,240,60,35.0,24.17,47.64,51.67,52.5,72.08,42.08,77,24,43,96,0,64.17,80.0,44.17,32.99,55.34,9.2,6.84
Gemini-3.1-Pro,mbhuman,hornet,24,240,60,41.67,30.06,54.27,56.67,57.5,72.92,50.42,88,33,32,87,0,73.33,72.5,45.83,34.59,57.08,11.33,7.1
Gemini-3.1-Pro,mbhuman,f2cfull,1,240,60,8.33,3.61,18.07,15.0,26.67,51.67,30.54,39,34,81,85,1,32.5,71.43,3.93,-7.74,15.6,0.67,0.52
Gemini-3.1-Pro,mbhuman,f2cfull,4,240,60,23.33,14.44,35.44,35.83,38.33,61.25,32.63,53,24,65,94,4,44.92,79.66,24.58,13.03,36.12,5.47,3.49
Gemini-3.1-Pro,mbhuman,f2cfull,8,240,60,26.67,17.13,39.01,38.33,42.5,62.5,35.59,57,27,59,93,4,49.14,77.5,26.64,14.87,38.41,6.53,3.87
Gemini-3.1-Pro,mbhuman,f2cfull,16,240,60,26.67,17.13,39.01,38.33,44.17,63.33,34.31,57,25,62,95,1,47.9,79.17,27.07,15.52,38.61,6.53,4.13
Gemini-3.1-Pro,mbhuman,f2cfull,24,240,60,28.33,18.51,40.77,40.0,45.0,63.75,37.02,61,26,56,92,5,52.14,77.97,30.1,18.36,41.84,7.07,4.26
