strategy,nframes,ablation,index,instance_id,video_path,question,gold,model_output,extracted,correct,frame_indices,f2c_scales,error,pred_file
uniform,8,none,0,0,videos/02_00_0.mp4,Does the person stir faster the first time compared to the second time?,yes,No,no,0,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,1,0,videos/02_00_1.mp4,Does the person stir faster the first time compared to the second time?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,2,0,videos/02_00_0.mp4,Does the person stir slower the first time compared to the second time?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,3,0,videos/02_00_1.mp4,Does the person stir slower the first time compared to the second time?,yes,No,no,0,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,4,1,videos/02_01_0.mp4,Does the drawer close faster the first time compared to the second time?,yes,Yes.,yes,1,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,5,1,videos/02_01_1.mp4,Does the drawer close faster the first time compared to the second time?,no,Yes,yes,0,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,6,1,videos/02_01_0.mp4,Does the drawer close slower the first time compared to the second time?,no,Yes,yes,0,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,7,1,videos/02_01_1.mp4,Does the drawer close slower the first time compared to the second time?,yes,Yes.,yes,1,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,8,2,videos/02_02_0.mp4,Does the person open their hand faster the first time compared to the second time?,yes,Yes,yes,1,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,9,2,videos/02_02_1.mp4,Does the person open their hand faster the first time compared to the second time?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,10,2,videos/02_02_0.mp4,Does the person open their hand slower the first time compared to the second time?,no,No.,no,1,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,11,2,videos/02_02_1.mp4,Does the person open their hand slower the first time compared to the second time?,yes,No,no,0,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,12,3,videos/02_03_0.mp4,Does the person press the pillow faster the first time compared to the second time?,yes,No.,no,0,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,13,3,videos/02_03_1.mp4,Does the person press the pillow faster the first time compared to the second time?,no,"Based on the sequence of images, the first press appears to be slower and more deliberate, while the second press seems quicker and more forceful. Therefore, the person does not press the pillow faster the first time.

No",no,1,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,14,3,videos/02_03_0.mp4,Does the person press the pillow slower the first time compared to the second time?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,15,3,videos/02_03_1.mp4,Does the person press the pillow slower the first time compared to the second time?,yes,Yes,yes,1,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,16,4,videos/02_04_0.mp4,"Once off the ramp, does the ball move faster the first time compared to the second time?",yes,No,no,0,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,17,4,videos/02_04_1.mp4,"Once off the ramp, does the ball move faster the first time compared to the second time?",no,Yes,yes,0,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,18,4,videos/02_04_0.mp4,"Once off the ramp, does the ball move slower the first time compared to the second time?",no,Yes,yes,0,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,19,4,videos/02_04_1.mp4,"Once off the ramp, does the ball move slower the first time compared to the second time?",yes,"Based on the images, the ramp is set at a steeper angle for the first roll (images 1-3) compared to the second roll (images 4-8). A steeper ramp causes the ball to roll faster. Therefore, the ball moves faster the first time, not slower.

No",no,0,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,20,5,videos/02_05_0.mp4,Does the ball travel faster in the second push compared to the first?,yes,Yes,yes,1,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,21,5,videos/02_05_1.mp4,Does the ball travel faster in the second push compared to the first?,no,Yes,yes,0,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,22,5,videos/02_05_0.mp4,Does the ball travel faster in the first push compared to the second?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,23,5,videos/02_05_1.mp4,Does the ball travel faster in the first push compared to the second?,yes,Yes,yes,1,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,24,6,videos/02_05_0.mp4,Is the first push weaker than the second one?,yes,No.,no,0,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,25,6,videos/02_05_1.mp4,Is the first push weaker than the second one?,no,No.,no,1,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,26,6,videos/02_05_0.mp4,Is the first push stronger than the second one?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,27,6,videos/02_05_1.mp4,Is the first push stronger than the second one?,yes,No.,no,0,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,28,7,videos/09_00_0.mp4,Does the box travel farther in the second push compared to the first?,yes,Yes,yes,1,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,29,7,videos/09_00_1.mp4,Does the box travel farther in the second push compared to the first?,no,Yes,yes,0,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,30,7,videos/09_00_0.mp4,Does the box travel farther in the first push compared to the second?,no,"No, the box travels farther in the second push compared to the first.",no,1,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,31,7,videos/09_00_1.mp4,Does the box travel farther in the first push compared to the second?,yes,Yes,yes,1,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,32,8,videos/09_00_0.mp4,Is the first push weaker than the second one?,yes,Yes.,yes,1,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,33,8,videos/09_00_1.mp4,Is the first push weaker than the second one?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,34,8,videos/09_00_0.mp4,Is the first push stronger than the second one?,no,No.,no,1,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,35,8,videos/09_00_1.mp4,Is the first push stronger than the second one?,yes,Yes,yes,1,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,36,9,videos/09_01_0.mp4,Does the puck travel farther in the second push compared to the first?,yes,Yes,yes,1,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,37,9,videos/09_01_1.mp4,Does the puck travel farther in the second push compared to the first?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,38,9,videos/09_01_0.mp4,Does the puck travel farther in the first push compared to the second?,no,"Based on the images provided, the puck travels a shorter distance in the first push (seen in the early frames) and a much longer distance in the second push (where it slides all the way past the tennis balls).

Therefore, the answer is **No**.",,0,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,39,9,videos/09_01_1.mp4,Does the puck travel farther in the first push compared to the second?,yes,Yes,yes,1,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,40,10,videos/09_01_0.mp4,Is the first push weaker than the second one?,yes,Yes.,yes,1,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,41,10,videos/09_01_1.mp4,Is the first push weaker than the second one?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,42,10,videos/09_01_0.mp4,Is the first push stronger than the second one?,no,No.,no,1,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,43,10,videos/09_01_1.mp4,Is the first push stronger than the second one?,yes,Yes.,yes,1,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,44,11,videos/09_02_0.mp4,Does the toy car travel farther in the second push compared to the first?,yes,Yes,yes,1,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,45,11,videos/09_02_1.mp4,Does the toy car travel farther in the second push compared to the first?,no,"Based on the images provided, the toy car travels a significantly shorter distance in the second push (ending in image 8) compared to the first push (ending in image 4).

No",no,1,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,46,11,videos/09_02_0.mp4,Does the toy car travel farther in the first push compared to the second?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,47,11,videos/09_02_1.mp4,Does the toy car travel farther in the first push compared to the second?,yes,Yes,yes,1,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,48,12,videos/09_02_0.mp4,Is the first push weaker than the second one?,yes,Yes,yes,1,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,49,12,videos/09_02_1.mp4,Is the first push weaker than the second one?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,50,12,videos/09_02_0.mp4,Is the first push stronger than the second one?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,51,12,videos/09_02_1.mp4,Is the first push stronger than the second one?,yes,Yes,yes,1,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,52,13,videos/09_03_0.mp4,Does the ball travel farther in the second push compared to the first?,yes,Yes,yes,1,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,53,13,videos/09_03_1.mp4,Does the ball travel farther in the second push compared to the first?,no,Yes,yes,0,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,54,13,videos/09_03_0.mp4,Does the ball travel farther in the first push compared to the second?,no,"Based on the images provided, the ball travels across the table in the first push but remains on it. In the second push, the ball travels across the entire table and falls off the edge. Therefore, the ball travels farther in the second push.

No",no,1,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,55,13,videos/09_03_1.mp4,Does the ball travel farther in the first push compared to the second?,yes,Yes,yes,1,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,56,14,videos/09_03_0.mp4,Is the first push weaker than the second one?,yes,No,no,0,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,57,14,videos/09_03_1.mp4,Is the first push weaker than the second one?,no,Yes,yes,0,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,58,14,videos/09_03_0.mp4,Is the first push stronger than the second one?,no,Yes.,yes,0,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,59,14,videos/09_03_1.mp4,Is the first push stronger than the second one?,yes,No,no,0,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,60,15,videos/09_04_0.mp4,Does the ball travel farther in the second push compared to the first?,yes,Yes,yes,1,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,61,15,videos/09_04_1.mp4,Does the ball travel farther in the second push compared to the first?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,62,15,videos/09_04_0.mp4,Does the ball travel farther in the first push compared to the second?,no,Yes,yes,0,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,63,15,videos/09_04_1.mp4,Does the ball travel farther in the first push compared to the second?,yes,Yes,yes,1,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,64,16,videos/09_04_0.mp4,Is the first push weaker than the second one?,yes,"Based on the images provided, the first push sends the red ball rolling a significant distance across the table and eventually off the edge onto the floor. This indicates a relatively strong push. Without seeing a second push for comparison, but given the force of the first one, it is unlikely to be the weaker of the two.

No.",no,0,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,65,16,videos/09_04_1.mp4,Is the first push weaker than the second one?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_uniform8.json
uniform,8,none,66,16,videos/09_04_0.mp4,Is the first push stronger than the second one?,no,"Based on the images provided, there is only one push visible (in the first image). Since there is no second push shown, it is not possible for the first push to be stronger than a second one.

No",no,1,,,,gemini_3_pro_motionblindv2_default_uniform8.json
