model,dataset,sampler,num_frames,n_items,n_instances,I_Acc,I_Acc_lo,I_Acc_hi,Q_Acc,V_Acc,Acc,yes_rate,TP,FP,FN,TN,invalid,sensitivity,specificity,youden_J,J_lo,J_hi,z_I_Acc_vs_chance,z_Acc_vs_chance
Gemma-4-12B-it,mbhuman,uniform,1,240,60,0.0,-0.0,6.02,0.83,1.67,39.17,1.65,2,1,87,92,58,2.25,98.92,1.17,-2.55,4.9,-2.0,-3.36
Gemma-4-12B-it,mbhuman,uniform,4,240,60,1.67,0.29,8.86,6.67,5.83,51.25,8.79,12,9,107,111,1,10.08,92.5,2.58,-4.59,9.76,-1.47,0.39
Gemma-4-12B-it,mbhuman,uniform,8,240,60,0.0,-0.0,6.02,8.33,9.17,53.75,7.92,14,5,106,115,0,11.67,95.83,7.5,0.73,14.27,-2.0,1.16
Gemma-4-12B-it,mbhuman,uniform,16,240,60,1.67,0.29,8.86,7.5,8.33,52.5,6.67,11,5,109,115,0,9.17,95.83,5.0,-1.28,11.28,-1.47,0.77
Gemma-4-12B-it,mbhuman,uniform,24,240,60,3.33,0.92,11.36,8.33,8.33,52.92,7.08,12,5,108,115,0,10.0,95.83,5.83,-0.62,12.28,-0.93,0.9
Gemma-4-12B-it,mbhuman,random,1,240,60,0.0,-0.0,6.02,0.83,2.5,38.33,2.76,3,2,87,89,59,3.33,97.8,1.14,-3.64,5.91,-2.0,-3.61
Gemma-4-12B-it,mbhuman,random,4,240,60,0.0,-0.0,6.02,4.17,3.33,50.42,5.42,7,6,113,114,0,5.83,95.0,0.83,-4.89,6.56,-2.0,0.13
Gemma-4-12B-it,mbhuman,random,8,240,60,1.67,0.29,8.86,5.0,6.67,51.67,7.5,11,7,109,113,0,9.17,94.17,3.33,-3.32,9.98,-1.47,0.52
Gemma-4-12B-it,mbhuman,random,16,240,60,0.0,-0.0,6.02,4.17,5.0,51.25,6.25,9,6,111,114,0,7.5,95.0,2.5,-3.62,8.62,-2.0,0.39
Gemma-4-12B-it,mbhuman,random,24,240,60,3.33,0.92,11.36,6.67,9.17,52.92,6.25,11,4,109,116,0,9.17,96.67,5.83,-0.25,11.91,-0.93,0.9
Gemma-4-12B-it,mbhuman,hornet,1,240,60,0.0,-0.0,6.02,0.83,1.67,37.08,2.23,2,2,88,87,61,2.22,97.75,-0.02,-4.36,4.31,-2.0,-4.0
Gemma-4-12B-it,mbhuman,hornet,4,240,60,0.0,-0.0,6.02,2.5,2.5,49.17,2.99,4,3,113,114,6,3.42,97.44,0.85,-3.51,5.22,-2.0,-0.26
Gemma-4-12B-it,mbhuman,hornet,8,240,60,0.0,-0.0,6.02,1.67,0.83,47.92,3.43,3,5,113,112,7,2.59,95.73,-1.69,-6.35,2.98,-2.0,-0.65
Gemma-4-12B-it,mbhuman,hornet,16,240,60,1.67,0.29,8.86,4.17,5.83,50.83,5.02,7,5,112,115,1,5.88,95.83,1.72,-3.82,7.25,-1.47,0.26
Gemma-4-12B-it,mbhuman,hornet,24,240,60,1.67,0.29,8.86,4.17,5.0,50.0,5.83,7,7,113,113,0,5.83,94.17,0.0,-5.93,5.93,-1.47,0.0
