model,dataset,sampler,num_frames,n,Acc,Acc_lo,Acc_hi,invalid,short_Acc,medium_Acc,long_Acc,majority_baseline,chance
Gemma-4-12B-it,videomme,uniform,1,2700,35.85,34.06,37.68,456,38.89,31.33,37.33,27.22,25.0
Gemma-4-12B-it,videomme,uniform,4,2700,45.41,43.54,47.29,282,52.44,41.78,42.0,27.22,25.0
Gemma-4-12B-it,videomme,uniform,8,2700,48.56,46.67,50.44,254,59.11,44.78,41.78,27.22,25.0
Gemma-4-12B-it,videomme,uniform,16,2700,52.07,50.19,53.95,221,65.44,47.56,43.22,27.22,25.0
Gemma-4-12B-it,videomme,uniform,24,2700,54.07,52.19,55.95,207,67.78,51.89,42.56,27.22,25.0
Gemma-4-12B-it,videomme,random,1,2700,38.85,37.03,40.7,359,41.44,36.11,39.0,27.22,25.0
Gemma-4-12B-it,videomme,random,4,2700,43.52,41.66,45.4,343,52.11,40.0,38.44,27.22,25.0
Gemma-4-12B-it,videomme,random,8,2700,47.56,45.68,49.44,313,56.44,45.22,41.0,27.22,25.0
Gemma-4-12B-it,videomme,random,16,2700,50.74,48.86,52.62,269,64.89,45.56,41.78,27.22,25.0
Gemma-4-12B-it,videomme,random,24,2700,52.11,50.23,53.99,238,64.67,48.56,43.11,27.22,25.0
Gemma-4-12B-it,videomme,hornet,1,2700,35.3,33.52,37.12,500,37.89,31.56,36.44,27.22,25.0
Gemma-4-12B-it,videomme,hornet,4,2700,42.52,40.67,44.39,386,48.0,39.89,39.67,27.22,25.0
Gemma-4-12B-it,videomme,hornet,8,2700,46.19,44.31,48.07,338,54.33,42.0,42.22,27.22,25.0
Gemma-4-12B-it,videomme,hornet,16,2700,51.0,49.11,52.88,275,60.89,48.0,44.11,27.22,25.0
Gemma-4-12B-it,videomme,hornet,24,2700,53.67,51.78,55.54,232,65.89,52.0,43.11,27.22,25.0
