model,dataset,sampler,num_frames,n_items,n_instances,I_Acc,I_Acc_lo,I_Acc_hi,Q_Acc,V_Acc,Acc,yes_rate,TP,FP,FN,TN,invalid,sensitivity,specificity,youden_J,J_lo,J_hi,z_I_Acc_vs_chance,z_Acc_vs_chance
Inkling-Small,mbhuman,uniform,1,240,60,0.0,-0.0,6.02,11.67,15.83,45.83,28.33,29,39,91,81,0,24.17,67.5,-8.33,-19.69,3.02,-2.0,-1.29
Inkling-Small,mbhuman,uniform,4,240,60,10.0,4.66,20.15,24.17,33.33,55.42,54.58,72,59,48,61,0,60.0,50.83,10.83,-1.69,23.36,1.2,1.68
Inkling-Small,mbhuman,uniform,8,240,60,5.0,1.71,13.7,18.33,30.0,52.92,55.42,70,63,50,57,0,58.33,47.5,5.83,-6.72,18.39,-0.4,0.9
Inkling-Small,mbhuman,uniform,16,240,60,5.0,1.71,13.7,20.83,29.17,54.58,58.75,76,65,44,55,0,63.33,45.83,9.17,-3.24,21.57,-0.4,1.42
Inkling-Small,mbhuman,uniform,24,240,60,5.0,1.71,13.7,23.33,30.83,55.42,60.42,79,66,41,54,0,65.83,45.0,10.83,-1.46,23.13,-0.4,1.68
Inkling-Small,mbhuman,random,1,240,60,3.33,0.92,11.36,19.17,20.83,52.5,30.83,40,34,80,86,0,33.33,71.67,5.0,-6.67,16.67,-0.93,0.77
Inkling-Small,mbhuman,random,4,240,60,6.67,2.62,15.93,19.17,27.5,48.33,47.5,55,59,65,61,0,45.83,50.83,-3.33,-15.96,9.3,0.13,-0.52
Inkling-Small,mbhuman,random,8,240,60,6.67,2.62,15.93,18.33,31.67,52.5,53.33,67,61,53,59,0,55.83,49.17,5.0,-7.61,17.61,0.13,0.77
Inkling-Small,mbhuman,random,16,240,60,6.67,2.62,15.93,25.83,28.33,55.0,60.0,78,66,42,54,0,65.0,45.0,10.0,-2.33,22.33,0.13,1.55
Inkling-Small,mbhuman,random,24,240,60,8.33,3.61,18.07,26.67,30.0,54.58,57.92,75,64,45,56,0,62.5,46.67,9.17,-3.27,21.6,0.67,1.42
Inkling-Small,mbhuman,hornet,1,240,60,3.33,0.92,11.36,17.5,24.17,49.58,32.08,38,39,82,81,0,31.67,67.5,-0.83,-12.64,10.98,-0.93,-0.13
Inkling-Small,mbhuman,hornet,4,240,60,0.0,-0.0,6.02,12.5,21.67,49.17,43.33,51,53,69,67,0,42.5,55.83,-1.67,-14.2,10.87,-2.0,-0.26
Inkling-Small,mbhuman,hornet,8,240,60,3.33,0.92,11.36,20.0,27.5,52.08,49.58,62,57,58,63,0,51.67,52.5,4.17,-8.47,16.81,-0.93,0.65
Inkling-Small,mbhuman,hornet,16,240,60,3.33,0.92,11.36,13.33,24.17,49.17,54.17,64,66,56,54,0,53.33,45.0,-1.67,-14.27,10.94,-0.93,-0.26
Inkling-Small,mbhuman,hornet,24,240,60,3.33,0.92,11.36,16.67,20.0,50.0,65.83,79,79,41,41,0,65.83,34.17,0.0,-12.0,12.0,-0.93,0.0
