strategy,nframes,ablation,index,instance_id,video_path,question,gold,model_output,extracted,correct,frame_indices,f2c_scales,error,pred_file
random,32,none,0,0,videos/02_00_0.mp4,Does the person stir faster the first time compared to the second time?,yes,No,no,0,6 13 16 23 81 98 102 120 123 138 148 151 158 172 173 205 214 223 234 251 260 261 262 267 271 278 311 322 337 339 349 367,,,inkling_small_mbhuman_random32.json
random,32,none,1,0,videos/02_00_1.mp4,Does the person stir faster the first time compared to the second time?,no,No,no,1,9 13 27 36 38 48 62 90 92 103 111 126 130 152 155 157 174 182 192 211 229 234 247 250 253 282 287 302 310 328 360 366,,,inkling_small_mbhuman_random32.json
random,32,none,2,0,videos/02_00_0.mp4,Does the person stir slower the first time compared to the second time?,no,Yes,yes,0,6 13 16 23 81 98 102 120 123 138 148 151 158 172 173 205 214 223 234 251 260 261 262 267 271 278 311 322 337 339 349 367,,,inkling_small_mbhuman_random32.json
random,32,none,3,0,videos/02_00_1.mp4,Does the person stir slower the first time compared to the second time?,yes,Yes,yes,1,9 13 27 36 38 48 62 90 92 103 111 126 130 152 155 157 174 182 192 211 229 234 247 250 253 282 287 302 310 328 360 366,,,inkling_small_mbhuman_random32.json
random,32,none,4,1,videos/02_01_0.mp4,Does the drawer close faster the first time compared to the second time?,yes,No,no,0,0 6 7 9 15 29 32 36 40 44 51 53 68 76 79 81 86 87 88 93 104 110 111 114 117 126 141 142 155 162 165 166,,,inkling_small_mbhuman_random32.json
random,32,none,5,1,videos/02_01_1.mp4,Does the drawer close faster the first time compared to the second time?,no,Yes,yes,0,1 5 13 14 22 39 47 69 70 71 89 91 94 95 96 107 112 121 127 130 134 140 141 147 149 153 155 165 167 169 172 177,,,inkling_small_mbhuman_random32.json
random,32,none,6,1,videos/02_01_0.mp4,Does the drawer close slower the first time compared to the second time?,no,No,no,1,0 6 7 9 15 29 32 36 40 44 51 53 68 76 79 81 86 87 88 93 104 110 111 114 117 126 141 142 155 162 165 166,,,inkling_small_mbhuman_random32.json
random,32,none,7,1,videos/02_01_1.mp4,Does the drawer close slower the first time compared to the second time?,yes,Yes,yes,1,1 5 13 14 22 39 47 69 70 71 89 91 94 95 96 107 112 121 127 130 134 140 141 147 149 153 155 165 167 169 172 177,,,inkling_small_mbhuman_random32.json
random,32,none,8,2,videos/02_02_0.mp4,Does the person open their hand faster the first time compared to the second time?,yes,No,no,0,1 7 8 9 14 16 22 25 26 27 31 33 42 47 48 50 55 57 58 61 64 65 80 87 91 95 97 102 104 106 112 114,,,inkling_small_mbhuman_random32.json
random,32,none,9,2,videos/02_02_1.mp4,Does the person open their hand faster the first time compared to the second time?,no,No,no,1,7 9 10 11 18 19 23 24 25 27 28 33 40 42 44 47 48 52 62 71 72 74 81 85 89 94 99 100 101 106 113 115,,,inkling_small_mbhuman_random32.json
random,32,none,10,2,videos/02_02_0.mp4,Does the person open their hand slower the first time compared to the second time?,no,No,no,1,1 7 8 9 14 16 22 25 26 27 31 33 42 47 48 50 55 57 58 61 64 65 80 87 91 95 97 102 104 106 112 114,,,inkling_small_mbhuman_random32.json
random,32,none,11,2,videos/02_02_1.mp4,Does the person open their hand slower the first time compared to the second time?,yes,No,no,0,7 9 10 11 18 19 23 24 25 27 28 33 40 42 44 47 48 52 62 71 72 74 81 85 89 94 99 100 101 106 113 115,,,inkling_small_mbhuman_random32.json
random,32,none,12,3,videos/02_03_0.mp4,Does the person press the pillow faster the first time compared to the second time?,yes,No,no,0,12 15 26 27 29 30 35 42 53 56 61 62 63 65 67 74 75 92 96 99 101 102 103 106 110 119 126 128 129 131 132 133,,,inkling_small_mbhuman_random32.json
random,32,none,13,3,videos/02_03_1.mp4,Does the person press the pillow faster the first time compared to the second time?,no,No,no,1,6 7 14 32 36 37 45 50 51 52 56 60 63 67 73 85 89 91 93 101 102 106 113 116 118 124 126 128 129 130 133 135,,,inkling_small_mbhuman_random32.json
random,32,none,14,3,videos/02_03_0.mp4,Does the person press the pillow slower the first time compared to the second time?,no,Yes,yes,0,12 15 26 27 29 30 35 42 53 56 61 62 63 65 67 74 75 92 96 99 101 102 103 106 110 119 126 128 129 131 132 133,,,inkling_small_mbhuman_random32.json
random,32,none,15,3,videos/02_03_1.mp4,Does the person press the pillow slower the first time compared to the second time?,yes,No,no,0,6 7 14 32 36 37 45 50 51 52 56 60 63 67 73 85 89 91 93 101 102 106 113 116 118 124 126 128 129 130 133 135,,,inkling_small_mbhuman_random32.json
random,32,none,16,4,videos/02_04_0.mp4,"Once off the ramp, does the ball move faster the first time compared to the second time?",yes,No,no,0,0 1 5 12 13 16 19 21 23 24 25 26 28 38 41 43 47 49 50 51 53 59 60 61 62 68 69 71 72 74 77 82,,,inkling_small_mbhuman_random32.json
random,32,none,17,4,videos/02_04_1.mp4,"Once off the ramp, does the ball move faster the first time compared to the second time?",no,No,no,1,1 2 3 4 8 9 11 12 24 27 28 36 37 38 42 43 45 46 49 58 59 61 63 67 68 69 73 74 76 78 80 81,,,inkling_small_mbhuman_random32.json
random,32,none,18,4,videos/02_04_0.mp4,"Once off the ramp, does the ball move slower the first time compared to the second time?",no,Yes,yes,0,0 1 5 12 13 16 19 21 23 24 25 26 28 38 41 43 47 49 50 51 53 59 60 61 62 68 69 71 72 74 77 82,,,inkling_small_mbhuman_random32.json
random,32,none,19,4,videos/02_04_1.mp4,"Once off the ramp, does the ball move slower the first time compared to the second time?",yes,No,no,0,1 2 3 4 8 9 11 12 24 27 28 36 37 38 42 43 45 46 49 58 59 61 63 67 68 69 73 74 76 78 80 81,,,inkling_small_mbhuman_random32.json
random,32,none,20,5,videos/02_05_0.mp4,Does the ball travel faster in the second push compared to the first?,yes,Yes,yes,1,6 13 30 37 45 46 52 60 80 82 84 88 99 124 127 132 134 138 149 150 157 163 171 172 183 184 198 205 221 230 234 240,,,inkling_small_mbhuman_random32.json
random,32,none,21,5,videos/02_05_1.mp4,Does the ball travel faster in the second push compared to the first?,no,Yes,yes,0,0 3 6 7 19 27 28 30 69 71 73 83 98 103 112 127 129 131 135 145 158 160 165 175 187 190 191 194 202 208 227 240,,,inkling_small_mbhuman_random32.json
random,32,none,22,5,videos/02_05_0.mp4,Does the ball travel faster in the first push compared to the second?,no,No,no,1,6 13 30 37 45 46 52 60 80 82 84 88 99 124 127 132 134 138 149 150 157 163 171 172 183 184 198 205 221 230 234 240,,,inkling_small_mbhuman_random32.json
random,32,none,23,5,videos/02_05_1.mp4,Does the ball travel faster in the first push compared to the second?,yes,Yes,yes,1,0 3 6 7 19 27 28 30 69 71 73 83 98 103 112 127 129 131 135 145 158 160 165 175 187 190 191 194 202 208 227 240,,,inkling_small_mbhuman_random32.json
random,32,none,24,6,videos/02_05_0.mp4,Is the first push weaker than the second one?,yes,Yes,yes,1,6 13 30 37 45 46 52 60 80 82 84 88 99 124 127 132 134 138 149 150 157 163 171 172 183 184 198 205 221 230 234 240,,,inkling_small_mbhuman_random32.json
random,32,none,25,6,videos/02_05_1.mp4,Is the first push weaker than the second one?,no,Yes,yes,0,0 3 6 7 19 27 28 30 69 71 73 83 98 103 112 127 129 131 135 145 158 160 165 175 187 190 191 194 202 208 227 240,,,inkling_small_mbhuman_random32.json
random,32,none,26,6,videos/02_05_0.mp4,Is the first push stronger than the second one?,no,No,no,1,6 13 30 37 45 46 52 60 80 82 84 88 99 124 127 132 134 138 149 150 157 163 171 172 183 184 198 205 221 230 234 240,,,inkling_small_mbhuman_random32.json
random,32,none,27,6,videos/02_05_1.mp4,Is the first push stronger than the second one?,yes,No,no,0,0 3 6 7 19 27 28 30 69 71 73 83 98 103 112 127 129 131 135 145 158 160 165 175 187 190 191 194 202 208 227 240,,,inkling_small_mbhuman_random32.json
random,32,none,28,7,videos/09_00_0.mp4,Does the box travel farther in the second push compared to the first?,yes,Yes,yes,1,0 1 4 5 8 16 30 36 37 39 66 68 82 83 89 91 99 111 116 123 124 127 133 137 138 143 146 147 153 155 156 157,,,inkling_small_mbhuman_random32.json
random,32,none,29,7,videos/09_00_1.mp4,Does the box travel farther in the second push compared to the first?,no,Yes,yes,0,2 13 14 21 22 31 35 36 44 47 52 55 56 57 61 62 65 68 79 82 95 98 100 105 109 120 124 126 129 131 145 153,,,inkling_small_mbhuman_random32.json
random,32,none,30,7,videos/09_00_0.mp4,Does the box travel farther in the first push compared to the second?,no,No,no,1,0 1 4 5 8 16 30 36 37 39 66 68 82 83 89 91 99 111 116 123 124 127 133 137 138 143 146 147 153 155 156 157,,,inkling_small_mbhuman_random32.json
random,32,none,31,7,videos/09_00_1.mp4,Does the box travel farther in the first push compared to the second?,yes,No,no,0,2 13 14 21 22 31 35 36 44 47 52 55 56 57 61 62 65 68 79 82 95 98 100 105 109 120 124 126 129 131 145 153,,,inkling_small_mbhuman_random32.json
random,32,none,32,8,videos/09_00_0.mp4,Is the first push weaker than the second one?,yes,Yes,yes,1,0 1 4 5 8 16 30 36 37 39 66 68 82 83 89 91 99 111 116 123 124 127 133 137 138 143 146 147 153 155 156 157,,,inkling_small_mbhuman_random32.json
random,32,none,33,8,videos/09_00_1.mp4,Is the first push weaker than the second one?,no,Yes,yes,0,2 13 14 21 22 31 35 36 44 47 52 55 56 57 61 62 65 68 79 82 95 98 100 105 109 120 124 126 129 131 145 153,,,inkling_small_mbhuman_random32.json
random,32,none,34,8,videos/09_00_0.mp4,Is the first push stronger than the second one?,no,No,no,1,0 1 4 5 8 16 30 36 37 39 66 68 82 83 89 91 99 111 116 123 124 127 133 137 138 143 146 147 153 155 156 157,,,inkling_small_mbhuman_random32.json
random,32,none,35,8,videos/09_00_1.mp4,Is the first push stronger than the second one?,yes,No,no,0,2 13 14 21 22 31 35 36 44 47 52 55 56 57 61 62 65 68 79 82 95 98 100 105 109 120 124 126 129 131 145 153,,,inkling_small_mbhuman_random32.json
random,32,none,36,9,videos/09_01_0.mp4,Does the puck travel farther in the second push compared to the first?,yes,No,no,0,0 4 6 7 8 17 23 24 25 28 30 31 36 38 39 40 44 47 51 58 66 74 84 90 94 96 100 104 105 111 113 116,,,inkling_small_mbhuman_random32.json
random,32,none,37,9,videos/09_01_1.mp4,Does the puck travel farther in the second push compared to the first?,no,Yes,yes,0,3 6 9 18 21 22 31 33 39 40 44 45 56 58 59 62 64 67 68 74 86 92 94 99 102 104 105 107 110 111 112 114,,,inkling_small_mbhuman_random32.json
random,32,none,38,9,videos/09_01_0.mp4,Does the puck travel farther in the first push compared to the second?,no,No,no,1,0 4 6 7 8 17 23 24 25 28 30 31 36 38 39 40 44 47 51 58 66 74 84 90 94 96 100 104 105 111 113 116,,,inkling_small_mbhuman_random32.json
random,32,none,39,9,videos/09_01_1.mp4,Does the puck travel farther in the first push compared to the second?,yes,Yes,yes,1,3 6 9 18 21 22 31 33 39 40 44 45 56 58 59 62 64 67 68 74 86 92 94 99 102 104 105 107 110 111 112 114,,,inkling_small_mbhuman_random32.json
random,32,none,40,10,videos/09_01_0.mp4,Is the first push weaker than the second one?,yes,Yes,yes,1,0 4 6 7 8 17 23 24 25 28 30 31 36 38 39 40 44 47 51 58 66 74 84 90 94 96 100 104 105 111 113 116,,,inkling_small_mbhuman_random32.json
random,32,none,41,10,videos/09_01_1.mp4,Is the first push weaker than the second one?,no,Yes,yes,0,3 6 9 18 21 22 31 33 39 40 44 45 56 58 59 62 64 67 68 74 86 92 94 99 102 104 105 107 110 111 112 114,,,inkling_small_mbhuman_random32.json
random,32,none,42,10,videos/09_01_0.mp4,Is the first push stronger than the second one?,no,No,no,1,0 4 6 7 8 17 23 24 25 28 30 31 36 38 39 40 44 47 51 58 66 74 84 90 94 96 100 104 105 111 113 116,,,inkling_small_mbhuman_random32.json
random,32,none,43,10,videos/09_01_1.mp4,Is the first push stronger than the second one?,yes,Yes,yes,1,3 6 9 18 21 22 31 33 39 40 44 45 56 58 59 62 64 67 68 74 86 92 94 99 102 104 105 107 110 111 112 114,,,inkling_small_mbhuman_random32.json
random,32,none,44,11,videos/09_02_0.mp4,Does the toy car travel farther in the second push compared to the first?,yes,Yes,yes,1,5 10 12 16 29 31 44 47 48 49 51 55 57 58 60 65 67 73 76 80 84 87 94 98 104 105 106 115 117 119 122 127,,,inkling_small_mbhuman_random32.json
