model,dataset,sampler,num_frames,n_items,n_instances,I_Acc,I_Acc_lo,I_Acc_hi,Q_Acc,V_Acc,Acc,yes_rate,TP,FP,FN,TN,invalid,sensitivity,specificity,youden_J,J_lo,J_hi,z_I_Acc_vs_chance,z_Acc_vs_chance
Molmo2-8B,mbhuman,uniform,1,240,60,0.0,-0.0,6.02,5.83,5.0,50.0,81.67,98,98,22,22,0,81.67,18.33,0.0,-9.79,9.79,-2.0,0.0
Molmo2-8B,mbhuman,uniform,4,240,60,1.67,0.29,8.86,7.5,10.83,51.67,81.67,100,96,20,24,0,83.33,20.0,3.33,-6.45,13.12,-1.47,0.52
Molmo2-8B,mbhuman,uniform,8,240,60,1.67,0.29,8.86,7.5,10.83,52.5,83.33,103,97,17,23,0,85.83,19.17,5.0,-4.41,14.41,-1.47,0.77
Molmo2-8B,mbhuman,uniform,16,240,60,1.67,0.29,8.86,10.0,11.67,54.17,80.83,102,92,18,28,0,85.0,23.33,8.33,-1.57,18.24,-1.47,1.29
Molmo2-8B,mbhuman,uniform,24,240,60,3.33,0.92,11.36,7.5,11.67,53.75,82.08,103,94,17,26,0,85.83,21.67,7.5,-2.16,17.16,-0.93,1.16
Molmo2-8B,mbhuman,random,1,240,60,0.0,-0.0,6.02,13.33,8.33,50.42,74.58,90,89,30,31,0,75.0,25.83,0.83,-10.18,11.85,-2.0,0.13
Molmo2-8B,mbhuman,random,4,240,60,0.0,-0.0,6.02,6.67,11.67,50.42,76.25,92,91,28,29,0,76.67,24.17,0.83,-9.93,11.6,-2.0,0.13
Molmo2-8B,mbhuman,random,8,240,60,3.33,0.92,11.36,16.67,14.17,54.17,80.83,102,92,18,28,0,85.0,23.33,8.33,-1.57,18.24,-0.93,1.29
Molmo2-8B,mbhuman,random,16,240,60,1.67,0.29,8.86,10.0,12.5,53.33,82.5,103,95,17,25,0,85.83,20.83,6.67,-2.91,16.24,-1.47,1.03
Molmo2-8B,mbhuman,random,24,240,60,3.33,0.92,11.36,7.5,10.83,52.5,83.33,103,97,17,23,0,85.83,19.17,5.0,-4.41,14.41,-0.93,0.77
Molmo2-8B,mbhuman,hornet,1,240,60,0.0,-0.0,6.02,5.83,10.83,50.83,70.83,86,84,34,36,0,71.67,30.0,1.67,-9.83,13.17,-2.0,0.26
Molmo2-8B,mbhuman,hornet,4,240,60,1.67,0.29,8.86,10.0,9.17,52.5,80.0,99,93,21,27,0,82.5,22.5,5.0,-5.1,15.1,-1.47,0.77
Molmo2-8B,mbhuman,hornet,8,240,60,1.67,0.29,8.86,9.17,9.17,50.83,76.67,93,91,27,29,0,77.5,24.17,1.67,-9.03,12.37,-1.47,0.26
Molmo2-8B,mbhuman,hornet,16,240,60,1.67,0.29,8.86,10.83,10.0,52.5,82.5,102,96,18,24,0,85.0,20.0,5.0,-4.59,14.59,-1.47,0.77
Molmo2-8B,mbhuman,hornet,24,240,60,3.33,0.92,11.36,7.5,10.0,53.33,85.0,106,98,14,22,0,88.33,18.33,6.67,-2.33,15.66,-0.93,1.03
Molmo2-8B,mbhuman,f2cfull,1,240,60,1.67,0.29,8.86,14.17,14.17,53.75,77.92,98,89,22,31,0,81.67,25.83,7.5,-2.95,17.95,-1.47,1.16
Molmo2-8B,mbhuman,f2cfull,4,240,60,1.67,0.29,8.86,10.0,9.17,52.92,82.08,102,95,18,25,0,85.0,20.83,5.83,-3.84,15.51,-1.47,0.9
Molmo2-8B,mbhuman,f2cfull,8,240,60,1.67,0.29,8.86,10.0,9.17,53.33,81.67,102,94,18,26,0,85.0,21.67,6.67,-3.09,16.42,-1.47,1.03
Molmo2-8B,mbhuman,f2cfull,16,240,60,1.67,0.29,8.86,10.0,9.17,53.33,81.67,102,94,18,26,0,85.0,21.67,6.67,-3.09,16.42,-1.47,1.03
Molmo2-8B,mbhuman,f2cfull,24,240,60,1.67,0.29,8.86,10.0,9.17,53.33,81.67,102,94,18,26,0,85.0,21.67,6.67,-3.09,16.42,-1.47,1.03
