model,dataset,sampler,num_frames,n_items,n_instances,I_Acc,I_Acc_lo,I_Acc_hi,Q_Acc,V_Acc,Acc,yes_rate,TP,FP,FN,TN,invalid,sensitivity,specificity,youden_J,J_lo,J_hi,z_I_Acc_vs_chance,z_Acc_vs_chance
Molmo2-8B,timeblind,uniform,1,1200,600,0.83,0.36,1.94,6.25,23.75,47.42,49.42,277,316,323,284,0,46.17,47.33,-6.5,-12.15,-0.85,-5.48,-2.53
Molmo2-8B,timeblind,uniform,4,1200,600,11.67,9.34,14.48,21.33,38.42,59.0,57.58,383,308,217,292,0,63.83,48.67,12.5,6.95,18.05,5.48,8.82
Molmo2-8B,timeblind,uniform,8,1200,600,11.83,9.49,14.66,21.17,38.17,58.83,57.33,383,305,217,295,0,63.83,49.17,13.0,7.45,18.55,5.65,8.65
Molmo2-8B,timeblind,uniform,16,1200,600,10.33,8.14,13.03,19.5,37.33,58.67,59.67,394,322,206,278,0,65.67,46.33,12.0,6.49,17.51,4.13,8.49
Molmo2-8B,timeblind,uniform,24,1200,600,9.0,6.96,11.56,17.17,36.17,57.29,64.25,415,356,185,244,0,69.17,40.67,9.83,4.44,15.23,2.78,7.14
Molmo2-8B,timeblind,random,1,1200,600,6.33,4.65,8.57,14.67,31.42,53.83,50.58,331,276,269,324,0,55.17,54.0,9.17,3.53,14.8,0.08,3.76
Molmo2-8B,timeblind,random,4,1200,600,9.83,7.7,12.48,19.67,36.58,57.75,57.92,377,318,223,282,0,62.83,47.0,9.83,4.27,15.39,3.63,7.59
Molmo2-8B,timeblind,random,8,1200,600,9.67,7.55,12.29,18.67,36.08,57.12,55.0,357,303,243,297,0,59.5,49.5,9.0,3.39,14.61,3.46,6.98
Molmo2-8B,timeblind,random,16,1200,600,9.83,7.7,12.48,19.67,36.92,58.13,59.58,389,326,211,274,0,64.83,45.67,10.5,4.98,16.02,3.63,7.96
Molmo2-8B,timeblind,random,24,1200,600,8.67,6.67,11.19,17.42,36.42,57.42,64.17,418,352,182,248,0,69.67,41.33,11.0,5.61,16.39,2.45,7.27
Molmo2-8B,timeblind,hornet,1,1200,600,2.83,1.78,4.49,9.58,29.17,52.38,49.17,311,279,289,321,0,51.83,53.5,5.33,-0.32,10.98,-3.46,2.33
Molmo2-8B,timeblind,hornet,4,1200,600,5.0,3.52,7.05,14.83,31.17,54.37,51.83,332,290,268,310,0,55.33,51.67,7.0,1.36,12.64,-1.26,4.29
Molmo2-8B,timeblind,hornet,8,1200,600,8.67,6.67,11.19,18.58,35.75,57.04,53.58,352,291,248,309,0,58.67,51.5,10.17,4.55,15.78,2.45,6.9
Molmo2-8B,timeblind,hornet,16,1200,600,12.0,9.64,14.84,21.67,38.33,58.63,59.25,391,320,209,280,0,65.17,46.67,11.83,6.31,17.35,5.82,8.45
Molmo2-8B,timeblind,hornet,24,1200,600,12.17,9.79,15.03,21.08,38.92,58.75,64.17,421,349,179,251,0,70.17,41.83,12.0,6.62,17.38,5.99,8.57
Molmo2-8B,timeblind,f2cfull,1,1200,600,2.67,1.65,4.29,9.17,29.17,51.67,54.75,335,322,265,278,0,55.83,46.33,2.17,-3.46,7.8,-3.63,1.63
Molmo2-8B,timeblind,f2cfull,4,1200,600,8.17,6.23,10.63,18.75,35.67,57.0,57.5,375,315,225,285,0,62.5,47.5,10.0,4.43,15.57,1.94,6.86
Molmo2-8B,timeblind,f2cfull,8,1200,600,7.83,5.94,10.26,19.0,35.67,57.25,57.5,376,314,224,286,0,62.67,47.67,10.33,4.77,15.9,1.6,7.1
Molmo2-8B,timeblind,f2cfull,16,1200,600,8.0,6.09,10.45,19.08,35.75,57.29,57.42,376,313,224,287,0,62.67,47.83,10.5,4.94,16.06,1.77,7.14
Molmo2-8B,timeblind,f2cfull,24,1200,600,7.83,5.94,10.26,19.0,35.25,56.96,57.42,372,317,228,283,0,62.0,47.17,9.17,3.6,14.74,1.6,6.82
