model,dataset,sampler,num_frames,n,Acc,Acc_lo,Acc_hi,invalid,short_Acc,medium_Acc,long_Acc,majority_baseline,chance
Molmo2-8B,videomme,uniform,1,2700,47.19,45.31,49.07,0,50.89,46.33,44.33,27.22,25.0
Molmo2-8B,videomme,uniform,4,2700,52.37,50.48,54.25,0,57.89,50.89,48.33,27.22,25.0
Molmo2-8B,videomme,uniform,8,2700,56.3,54.42,58.16,0,65.0,55.56,48.33,27.22,25.0
Molmo2-8B,videomme,uniform,16,2700,59.78,57.92,61.61,0,70.78,57.67,50.89,27.22,25.0
Molmo2-8B,videomme,uniform,24,2700,60.85,59.0,62.68,0,71.89,61.0,49.67,27.22,25.0
Molmo2-8B,videomme,random,1,2700,49.81,47.93,51.7,0,54.44,49.33,45.67,27.22,25.0
Molmo2-8B,videomme,random,4,2700,53.67,51.78,55.54,0,60.67,50.89,49.44,27.22,25.0
Molmo2-8B,videomme,random,8,2700,56.15,54.27,58.01,0,63.67,55.22,49.56,27.22,25.0
Molmo2-8B,videomme,random,16,2700,60.0,58.14,61.83,0,69.67,59.44,50.89,27.22,25.0
Molmo2-8B,videomme,random,24,2700,60.3,58.44,62.13,0,68.44,61.78,50.67,27.22,25.0
Molmo2-8B,videomme,hornet,1,2700,49.96,48.08,51.85,0,51.11,50.78,48.0,27.22,25.0
Molmo2-8B,videomme,hornet,4,2700,50.37,48.49,52.25,0,55.11,49.33,46.67,27.22,25.0
Molmo2-8B,videomme,hornet,8,2700,52.67,50.78,54.54,0,59.22,51.33,47.44,27.22,25.0
Molmo2-8B,videomme,hornet,16,2700,57.3,55.42,59.15,0,66.44,54.44,51.0,27.22,25.0
Molmo2-8B,videomme,hornet,24,2700,59.96,58.1,61.8,0,69.89,58.11,51.89,27.22,25.0
