strategy,nframes,ablation,index,instance_id,video_path,question,gold,model_output,extracted,correct,frame_indices,f2c_scales,error,pred_file
random,32,none,0,0,videos/02_00_0.mp4,Does the person stir faster the first time compared to the second time?,yes,Yes,yes,1,,,,molmo2_8b_motionblindv2_default_random32.json
random,32,none,1,0,videos/02_00_1.mp4,Does the person stir faster the first time compared to the second time?,no,Yes,yes,0,,,,molmo2_8b_motionblindv2_default_random32.json
random,32,none,2,0,videos/02_00_0.mp4,Does the person stir slower the first time compared to the second time?,no,Yes,yes,0,,,,molmo2_8b_motionblindv2_default_random32.json
random,32,none,3,0,videos/02_00_1.mp4,Does the person stir slower the first time compared to the second time?,yes,Yes,yes,1,,,,molmo2_8b_motionblindv2_default_random32.json
random,32,none,4,1,videos/02_01_0.mp4,Does the drawer close faster the first time compared to the second time?,yes,Yes.,yes,1,,,,molmo2_8b_motionblindv2_default_random32.json
random,32,none,5,1,videos/02_01_1.mp4,Does the drawer close faster the first time compared to the second time?,no,Yes.,yes,0,,,,molmo2_8b_motionblindv2_default_random32.json
random,32,none,6,1,videos/02_01_0.mp4,Does the drawer close slower the first time compared to the second time?,no,Yes.,yes,0,,,,molmo2_8b_motionblindv2_default_random32.json
random,32,none,7,1,videos/02_01_1.mp4,Does the drawer close slower the first time compared to the second time?,yes,Yes.,yes,1,,,,molmo2_8b_motionblindv2_default_random32.json
random,32,none,8,2,videos/02_02_0.mp4,Does the person open their hand faster the first time compared to the second time?,yes,Yes,yes,1,,,,molmo2_8b_motionblindv2_default_random32.json
random,32,none,9,2,videos/02_02_1.mp4,Does the person open their hand faster the first time compared to the second time?,no,Yes,yes,0,,,,molmo2_8b_motionblindv2_default_random32.json
random,32,none,10,2,videos/02_02_0.mp4,Does the person open their hand slower the first time compared to the second time?,no,Yes.,yes,0,,,,molmo2_8b_motionblindv2_default_random32.json
random,32,none,11,2,videos/02_02_1.mp4,Does the person open their hand slower the first time compared to the second time?,yes,Yes.,yes,1,,,,molmo2_8b_motionblindv2_default_random32.json
random,32,none,12,3,videos/02_03_0.mp4,Does the person press the pillow faster the first time compared to the second time?,yes,Yes,yes,1,,,,molmo2_8b_motionblindv2_default_random32.json
random,32,none,13,3,videos/02_03_1.mp4,Does the person press the pillow faster the first time compared to the second time?,no,Yes,yes,0,,,,molmo2_8b_motionblindv2_default_random32.json
random,32,none,14,3,videos/02_03_0.mp4,Does the person press the pillow slower the first time compared to the second time?,no,Yes.,yes,0,,,,molmo2_8b_motionblindv2_default_random32.json
random,32,none,15,3,videos/02_03_1.mp4,Does the person press the pillow slower the first time compared to the second time?,yes,Yes.,yes,1,,,,molmo2_8b_motionblindv2_default_random32.json
random,32,none,16,4,videos/02_04_0.mp4,"Once off the ramp, does the ball move faster the first time compared to the second time?",yes,Yes.,yes,1,,,,molmo2_8b_motionblindv2_default_random32.json
random,32,none,17,4,videos/02_04_1.mp4,"Once off the ramp, does the ball move faster the first time compared to the second time?",no,Yes.,yes,0,,,,molmo2_8b_motionblindv2_default_random32.json
random,32,none,18,4,videos/02_04_0.mp4,"Once off the ramp, does the ball move slower the first time compared to the second time?",no,Yes.,yes,0,,,,molmo2_8b_motionblindv2_default_random32.json
random,32,none,19,4,videos/02_04_1.mp4,"Once off the ramp, does the ball move slower the first time compared to the second time?",yes,Yes.,yes,1,,,,molmo2_8b_motionblindv2_default_random32.json
random,32,none,20,5,videos/02_05_0.mp4,Does the ball travel faster in the second push compared to the first?,yes,Yes.,yes,1,,,,molmo2_8b_motionblindv2_default_random32.json
random,32,none,21,5,videos/02_05_1.mp4,Does the ball travel faster in the second push compared to the first?,no,Yes,yes,0,,,,molmo2_8b_motionblindv2_default_random32.json
random,32,none,22,5,videos/02_05_0.mp4,Does the ball travel faster in the first push compared to the second?,no,Yes.,yes,0,,,,molmo2_8b_motionblindv2_default_random32.json
random,32,none,23,5,videos/02_05_1.mp4,Does the ball travel faster in the first push compared to the second?,yes,Yes.,yes,1,,,,molmo2_8b_motionblindv2_default_random32.json
random,32,none,24,6,videos/02_05_0.mp4,Is the first push weaker than the second one?,yes,Yes,yes,1,,,,molmo2_8b_motionblindv2_default_random32.json
random,32,none,25,6,videos/02_05_1.mp4,Is the first push weaker than the second one?,no,Yes.,yes,0,,,,molmo2_8b_motionblindv2_default_random32.json
random,32,none,26,6,videos/02_05_0.mp4,Is the first push stronger than the second one?,no,Yes,yes,0,,,,molmo2_8b_motionblindv2_default_random32.json
random,32,none,27,6,videos/02_05_1.mp4,Is the first push stronger than the second one?,yes,Yes,yes,1,,,,molmo2_8b_motionblindv2_default_random32.json
random,32,none,28,7,videos/09_00_0.mp4,Does the box travel farther in the second push compared to the first?,yes,Yes,yes,1,,,,molmo2_8b_motionblindv2_default_random32.json
random,32,none,29,7,videos/09_00_1.mp4,Does the box travel farther in the second push compared to the first?,no,Yes.,yes,0,,,,molmo2_8b_motionblindv2_default_random32.json
random,32,none,30,7,videos/09_00_0.mp4,Does the box travel farther in the first push compared to the second?,no,Yes,yes,0,,,,molmo2_8b_motionblindv2_default_random32.json
random,32,none,31,7,videos/09_00_1.mp4,Does the box travel farther in the first push compared to the second?,yes,Yes.,yes,1,,,,molmo2_8b_motionblindv2_default_random32.json
random,32,none,32,8,videos/09_00_0.mp4,Is the first push weaker than the second one?,yes,Yes,yes,1,,,,molmo2_8b_motionblindv2_default_random32.json
random,32,none,33,8,videos/09_00_1.mp4,Is the first push weaker than the second one?,no,Yes.,yes,0,,,,molmo2_8b_motionblindv2_default_random32.json
random,32,none,34,8,videos/09_00_0.mp4,Is the first push stronger than the second one?,no,Yes.,yes,0,,,,molmo2_8b_motionblindv2_default_random32.json
random,32,none,35,8,videos/09_00_1.mp4,Is the first push stronger than the second one?,yes,Yes.,yes,1,,,,molmo2_8b_motionblindv2_default_random32.json
random,32,none,36,9,videos/09_01_0.mp4,Does the puck travel farther in the second push compared to the first?,yes,Yes,yes,1,,,,molmo2_8b_motionblindv2_default_random32.json
