model,dataset,sampler,num_frames,n_items,n_instances,I_Acc,I_Acc_lo,I_Acc_hi,Q_Acc,V_Acc,Acc,yes_rate,TP,FP,FN,TN,invalid,sensitivity,specificity,youden_J,J_lo,J_hi,z_I_Acc_vs_chance,z_Acc_vs_chance
Motion-o,mbhuman,uniform,1,240,60,0.0,-0.0,6.02,2.5,1.67,50.42,2.08,3,2,117,118,0,2.5,98.33,0.83,-2.78,4.45,-2.0,0.13
Motion-o,mbhuman,uniform,4,240,60,0.0,-0.0,6.02,5.0,5.0,52.08,4.58,8,3,112,117,0,6.67,97.5,4.17,-1.1,9.43,-2.0,0.65
Motion-o,mbhuman,uniform,8,240,60,5.0,1.71,13.7,8.33,10.0,53.75,6.25,12,3,108,117,0,10.0,97.5,7.5,1.45,13.55,-0.4,1.16
Motion-o,mbhuman,uniform,16,240,60,6.67,2.62,15.93,10.83,12.5,55.0,7.5,15,3,105,117,0,12.5,97.5,10.0,3.46,16.54,0.13,1.55
Motion-o,mbhuman,uniform,24,240,60,6.67,2.62,15.93,10.83,12.5,55.0,7.5,15,3,105,117,0,12.5,97.5,10.0,3.46,16.54,0.13,1.55
Motion-o,mbhuman,random,1,240,60,0.0,-0.0,6.02,2.5,2.5,51.25,2.08,4,1,116,119,0,3.33,99.17,2.5,-1.1,6.1,-2.0,0.39
Motion-o,mbhuman,random,4,240,60,0.0,-0.0,6.02,2.5,4.17,50.83,5.0,7,5,113,115,0,5.83,95.83,1.67,-3.84,7.18,-2.0,0.26
Motion-o,mbhuman,random,8,240,60,1.67,0.29,8.86,7.5,8.33,52.92,5.42,10,3,110,117,0,8.33,97.5,5.83,0.15,11.51,-1.47,0.9
Motion-o,mbhuman,random,16,240,60,6.67,2.62,15.93,10.83,11.67,55.42,6.25,14,1,106,119,0,11.67,99.17,10.83,4.86,16.8,0.13,1.68
Motion-o,mbhuman,random,24,240,60,6.67,2.62,15.93,11.67,11.67,55.0,7.5,15,3,105,117,0,12.5,97.5,10.0,3.46,16.54,0.13,1.55
Motion-o,mbhuman,hornet,1,240,60,0.0,-0.0,6.02,1.67,1.67,50.83,0.83,2,0,118,120,0,1.67,100.0,1.67,-0.62,3.96,-2.0,0.26
Motion-o,mbhuman,hornet,4,240,60,0.0,-0.0,6.02,2.5,3.33,50.42,2.92,4,3,116,117,0,3.33,97.5,0.83,-3.42,5.09,-2.0,0.13
Motion-o,mbhuman,hornet,8,240,60,0.0,-0.0,6.02,2.5,2.5,49.58,2.92,3,4,117,116,0,2.5,96.67,-0.83,-5.09,3.42,-2.0,-0.13
Motion-o,mbhuman,hornet,16,240,60,1.67,0.29,8.86,5.0,5.83,51.25,5.42,8,5,112,115,0,6.67,95.83,2.5,-3.22,8.22,-1.47,0.39
Motion-o,mbhuman,hornet,24,240,60,3.33,0.92,11.36,7.5,7.5,52.92,5.42,10,3,110,117,0,8.33,97.5,5.83,0.15,11.51,-0.93,0.9
Motion-o,mbhuman,f2c,1,240,60,0.0,-0.0,6.02,4.17,3.33,51.25,2.92,5,2,115,118,0,4.17,98.33,2.5,-1.75,6.75,-2.0,0.39
Motion-o,mbhuman,f2c,4,240,60,0.0,-0.0,6.02,1.67,2.5,50.0,3.33,4,4,116,116,0,3.33,96.67,0.0,-4.54,4.54,-2.0,0.0
Motion-o,mbhuman,f2c,8,240,60,0.0,-0.0,6.02,4.17,5.0,50.83,4.17,6,4,114,116,0,5.0,96.67,1.67,-3.39,6.72,-2.0,0.26
Motion-o,mbhuman,f2c,16,240,60,3.33,0.92,11.36,8.33,9.17,53.75,7.92,14,5,106,115,0,11.67,95.83,7.5,0.73,14.27,-0.93,1.16
Motion-o,mbhuman,f2c,24,240,60,5.0,1.71,13.7,9.17,10.0,53.75,6.25,12,3,108,117,0,10.0,97.5,7.5,1.45,13.55,-0.4,1.16
