model,dataset,sampler,num_frames,n,Acc,Acc_lo,Acc_hi,invalid,short_Acc,medium_Acc,long_Acc,majority_baseline,chance
Motion-o,videomme,uniform,1,2700,41.89,40.04,43.76,12,46.67,40.56,38.44,27.22,25.0
Motion-o,videomme,uniform,4,2700,48.3,46.42,50.18,0,56.44,45.78,42.67,27.22,25.0
Motion-o,videomme,uniform,8,2700,51.7,49.82,53.58,0,59.56,50.67,44.89,27.22,25.0
Motion-o,videomme,uniform,16,2700,54.89,53.01,56.76,1,64.78,53.11,46.78,27.22,25.0
Motion-o,videomme,uniform,24,2700,56.89,55.01,58.75,0,68.67,54.89,47.11,27.22,25.0
Motion-o,videomme,random,1,2700,44.7,42.84,46.59,12,49.56,43.89,40.67,27.22,25.0
Motion-o,videomme,random,4,2700,48.81,46.93,50.7,0,55.0,48.78,42.67,27.22,25.0
Motion-o,videomme,random,8,2700,50.37,48.49,52.25,0,57.67,49.22,44.22,27.22,25.0
Motion-o,videomme,random,16,2700,54.19,52.3,56.06,0,65.11,52.11,45.33,27.22,25.0
Motion-o,videomme,random,24,2700,56.59,54.71,58.45,2,68.33,52.56,48.89,27.22,25.0
Motion-o,videomme,hornet,1,2700,42.81,40.96,44.69,17,46.89,40.67,40.89,27.22,25.0
Motion-o,videomme,hornet,4,2700,46.78,44.9,48.66,0,51.78,46.56,42.0,27.22,25.0
Motion-o,videomme,hornet,8,2700,48.22,46.34,50.11,1,54.22,47.44,43.0,27.22,25.0
Motion-o,videomme,hornet,16,2700,53.07,51.19,54.95,0,63.0,50.33,45.89,27.22,25.0
Motion-o,videomme,hornet,24,2700,55.56,53.67,57.42,0,66.44,53.78,46.44,27.22,25.0
Motion-o,videomme,f2c,1,2700,49.85,47.97,51.74,2,56.33,48.44,44.78,27.22,25.0
Motion-o,videomme,f2c,4,2700,50.11,48.23,52.0,0,56.56,48.56,45.22,27.22,25.0
Motion-o,videomme,f2c,8,2700,53.07,51.19,54.95,1,61.44,51.11,46.67,27.22,25.0
Motion-o,videomme,f2c,16,2700,55.81,53.93,57.68,0,66.78,52.67,48.0,27.22,25.0
Motion-o,videomme,f2c,24,2700,58.22,56.35,60.07,0,69.56,54.89,50.22,27.22,25.0
