strategy,nframes,ablation,index,instance_id,video_path,question,gold,model_output,extracted,correct,frame_indices,f2c_scales,error,pred_file
uniform,16,none,0,0,videos/02_00_0.mp4,Does the person stir faster the first time compared to the second time?,yes,No.,no,0,0 25 51 76 101 126 152 177 202 227 253 278 303 328 354 379,,,motion_o_mb_default_uniform16.json
uniform,16,none,1,0,videos/02_00_1.mp4,Does the person stir faster the first time compared to the second time?,no,No.,no,1,0 25 51 76 101 126 152 177 202 227 253 278 303 328 354 379,,,motion_o_mb_default_uniform16.json
uniform,16,none,2,0,videos/02_00_0.mp4,Does the person stir slower the first time compared to the second time?,no,No.,no,1,0 25 51 76 101 126 152 177 202 227 253 278 303 328 354 379,,,motion_o_mb_default_uniform16.json
uniform,16,none,3,0,videos/02_00_1.mp4,Does the person stir slower the first time compared to the second time?,yes,No.,no,0,0 25 51 76 101 126 152 177 202 227 253 278 303 328 354 379,,,motion_o_mb_default_uniform16.json
uniform,16,none,4,1,videos/02_01_0.mp4,Does the drawer close faster the first time compared to the second time?,yes,No.,no,0,0 12 25 37 50 62 75 87 100 112 125 137 150 162 175 187,,,motion_o_mb_default_uniform16.json
uniform,16,none,5,1,videos/02_01_1.mp4,Does the drawer close faster the first time compared to the second time?,no,No.,no,1,0 12 25 37 50 62 75 87 100 112 125 137 150 162 175 187,,,motion_o_mb_default_uniform16.json
uniform,16,none,6,1,videos/02_01_0.mp4,Does the drawer close slower the first time compared to the second time?,no,No.,no,1,0 12 25 37 50 62 75 87 100 112 125 137 150 162 175 187,,,motion_o_mb_default_uniform16.json
uniform,16,none,7,1,videos/02_01_1.mp4,Does the drawer close slower the first time compared to the second time?,yes,No.,no,0,0 12 25 37 50 62 75 87 100 112 125 137 150 162 175 187,,,motion_o_mb_default_uniform16.json
uniform,16,none,8,2,videos/02_02_0.mp4,Does the person open their hand faster the first time compared to the second time?,yes,No.,no,0,0 8 16 23 31 39 47 55 62 70 78 86 94 101 109 117,,,motion_o_mb_default_uniform16.json
uniform,16,none,9,2,videos/02_02_1.mp4,Does the person open their hand faster the first time compared to the second time?,no,No.,no,1,0 8 16 23 31 39 47 55 62 70 78 86 94 101 109 117,,,motion_o_mb_default_uniform16.json
uniform,16,none,10,2,videos/02_02_0.mp4,Does the person open their hand slower the first time compared to the second time?,no,No.,no,1,0 8 16 23 31 39 47 55 62 70 78 86 94 101 109 117,,,motion_o_mb_default_uniform16.json
uniform,16,none,11,2,videos/02_02_1.mp4,Does the person open their hand slower the first time compared to the second time?,yes,No.,no,0,0 8 16 23 31 39 47 55 62 70 78 86 94 101 109 117,,,motion_o_mb_default_uniform16.json
uniform,16,none,12,3,videos/02_03_0.mp4,Does the person press the pillow faster the first time compared to the second time?,yes,No.,no,0,0 9 19 28 38 47 57 66 76 85 95 104 114 123 133 142,,,motion_o_mb_default_uniform16.json
uniform,16,none,13,3,videos/02_03_1.mp4,Does the person press the pillow faster the first time compared to the second time?,no,No.,no,1,0 9 19 28 38 47 57 66 76 85 95 104 114 123 133 142,,,motion_o_mb_default_uniform16.json
uniform,16,none,14,3,videos/02_03_0.mp4,Does the person press the pillow slower the first time compared to the second time?,no,No.,no,1,0 9 19 28 38 47 57 66 76 85 95 104 114 123 133 142,,,motion_o_mb_default_uniform16.json
uniform,16,none,15,3,videos/02_03_1.mp4,Does the person press the pillow slower the first time compared to the second time?,yes,No.,no,0,0 9 19 28 38 47 57 66 76 85 95 104 114 123 133 142,,,motion_o_mb_default_uniform16.json
uniform,16,none,16,4,videos/02_04_0.mp4,"Once off the ramp, does the ball move faster the first time compared to the second time?",yes,No.,no,0,0 5 11 16 22 27 33 38 44 49 55 60 66 71 77 82,,,motion_o_mb_default_uniform16.json
uniform,16,none,17,4,videos/02_04_1.mp4,"Once off the ramp, does the ball move faster the first time compared to the second time?",no,No.,no,1,0 5 11 16 22 27 33 38 44 49 55 60 66 71 77 82,,,motion_o_mb_default_uniform16.json
uniform,16,none,18,4,videos/02_04_0.mp4,"Once off the ramp, does the ball move slower the first time compared to the second time?",no,No.,no,1,0 5 11 16 22 27 33 38 44 49 55 60 66 71 77 82,,,motion_o_mb_default_uniform16.json
uniform,16,none,19,4,videos/02_04_1.mp4,"Once off the ramp, does the ball move slower the first time compared to the second time?",yes,No,no,0,0 5 11 16 22 27 33 38 44 49 55 60 66 71 77 82,,,motion_o_mb_default_uniform16.json
uniform,16,none,20,5,videos/02_05_0.mp4,Does the ball travel faster in the second push compared to the first?,yes,No.,no,0,0 16 32 48 65 81 97 113 129 145 161 177 194 210 226 242,,,motion_o_mb_default_uniform16.json
uniform,16,none,21,5,videos/02_05_1.mp4,Does the ball travel faster in the second push compared to the first?,no,No.,no,1,0 16 32 48 65 81 97 113 129 145 161 177 194 210 226 242,,,motion_o_mb_default_uniform16.json
uniform,16,none,22,5,videos/02_05_0.mp4,Does the ball travel faster in the first push compared to the second?,no,No.,no,1,0 16 32 48 65 81 97 113 129 145 161 177 194 210 226 242,,,motion_o_mb_default_uniform16.json
uniform,16,none,23,5,videos/02_05_1.mp4,Does the ball travel faster in the first push compared to the second?,yes,No.,no,0,0 16 32 48 65 81 97 113 129 145 161 177 194 210 226 242,,,motion_o_mb_default_uniform16.json
uniform,16,none,24,6,videos/02_05_0.mp4,Is the first push weaker than the second one?,yes,No.,no,0,0 16 32 48 65 81 97 113 129 145 161 177 194 210 226 242,,,motion_o_mb_default_uniform16.json
uniform,16,none,25,6,videos/02_05_1.mp4,Is the first push weaker than the second one?,no,No.,no,1,0 16 32 48 65 81 97 113 129 145 161 177 194 210 226 242,,,motion_o_mb_default_uniform16.json
uniform,16,none,26,6,videos/02_05_0.mp4,Is the first push stronger than the second one?,no,No.,no,1,0 16 32 48 65 81 97 113 129 145 161 177 194 210 226 242,,,motion_o_mb_default_uniform16.json
uniform,16,none,27,6,videos/02_05_1.mp4,Is the first push stronger than the second one?,yes,No.,no,0,0 16 32 48 65 81 97 113 129 145 161 177 194 210 226 242,,,motion_o_mb_default_uniform16.json
uniform,16,none,28,7,videos/09_00_0.mp4,Does the box travel farther in the second push compared to the first?,yes,No.,no,0,0 10 21 31 42 52 63 73 84 94 105 115 126 136 147 157,,,motion_o_mb_default_uniform16.json
uniform,16,none,29,7,videos/09_00_1.mp4,Does the box travel farther in the second push compared to the first?,no,No.,no,1,0 10 21 31 42 52 63 73 84 94 105 115 126 136 147 157,,,motion_o_mb_default_uniform16.json
uniform,16,none,30,7,videos/09_00_0.mp4,Does the box travel farther in the first push compared to the second?,no,No.,no,1,0 10 21 31 42 52 63 73 84 94 105 115 126 136 147 157,,,motion_o_mb_default_uniform16.json
uniform,16,none,31,7,videos/09_00_1.mp4,Does the box travel farther in the first push compared to the second?,yes,No.,no,0,0 10 21 31 42 52 63 73 84 94 105 115 126 136 147 157,,,motion_o_mb_default_uniform16.json
uniform,16,none,32,8,videos/09_00_0.mp4,Is the first push weaker than the second one?,yes,No.,no,0,0 10 21 31 42 52 63 73 84 94 105 115 126 136 147 157,,,motion_o_mb_default_uniform16.json
