strategy,nframes,ablation,index,instance_id,video_path,question,gold,model_output,extracted,correct,frame_indices,f2c_scales,error,pred_file
uniform,16,shuffled_frames,0,0,videos/02_00_0.mp4,Does the person stir faster the first time compared to the second time?,yes,No,no,0,0 25 51 76 101 126 152 177 202 227 253 278 303 328 354 379,,,qwen3_vl_4b_mbhuman_uniform16_shuf0.json
uniform,16,shuffled_frames,1,0,videos/02_00_1.mp4,Does the person stir faster the first time compared to the second time?,no,No,no,1,0 25 51 76 101 126 152 177 202 227 253 278 303 328 354 379,,,qwen3_vl_4b_mbhuman_uniform16_shuf0.json
uniform,16,shuffled_frames,2,0,videos/02_00_0.mp4,Does the person stir slower the first time compared to the second time?,no,No,no,1,0 25 51 76 101 126 152 177 202 227 253 278 303 328 354 379,,,qwen3_vl_4b_mbhuman_uniform16_shuf0.json
uniform,16,shuffled_frames,3,0,videos/02_00_1.mp4,Does the person stir slower the first time compared to the second time?,yes,No,no,0,0 25 51 76 101 126 152 177 202 227 253 278 303 328 354 379,,,qwen3_vl_4b_mbhuman_uniform16_shuf0.json
uniform,16,shuffled_frames,4,1,videos/02_01_0.mp4,Does the drawer close faster the first time compared to the second time?,yes,No,no,0,0 12 25 37 50 62 75 87 100 112 125 137 150 162 175 187,,,qwen3_vl_4b_mbhuman_uniform16_shuf0.json
uniform,16,shuffled_frames,5,1,videos/02_01_1.mp4,Does the drawer close faster the first time compared to the second time?,no,No,no,1,0 12 25 37 50 62 75 87 100 112 125 137 150 162 175 187,,,qwen3_vl_4b_mbhuman_uniform16_shuf0.json
uniform,16,shuffled_frames,6,1,videos/02_01_0.mp4,Does the drawer close slower the first time compared to the second time?,no,No,no,1,0 12 25 37 50 62 75 87 100 112 125 137 150 162 175 187,,,qwen3_vl_4b_mbhuman_uniform16_shuf0.json
uniform,16,shuffled_frames,7,1,videos/02_01_1.mp4,Does the drawer close slower the first time compared to the second time?,yes,No,no,0,0 12 25 37 50 62 75 87 100 112 125 137 150 162 175 187,,,qwen3_vl_4b_mbhuman_uniform16_shuf0.json
uniform,16,shuffled_frames,8,2,videos/02_02_0.mp4,Does the person open their hand faster the first time compared to the second time?,yes,No,no,0,0 8 16 23 31 39 47 55 62 70 78 86 94 101 109 117,,,qwen3_vl_4b_mbhuman_uniform16_shuf0.json
uniform,16,shuffled_frames,9,2,videos/02_02_1.mp4,Does the person open their hand faster the first time compared to the second time?,no,No,no,1,0 8 16 23 31 39 47 55 62 70 78 86 94 101 109 117,,,qwen3_vl_4b_mbhuman_uniform16_shuf0.json
uniform,16,shuffled_frames,10,2,videos/02_02_0.mp4,Does the person open their hand slower the first time compared to the second time?,no,No,no,1,0 8 16 23 31 39 47 55 62 70 78 86 94 101 109 117,,,qwen3_vl_4b_mbhuman_uniform16_shuf0.json
uniform,16,shuffled_frames,11,2,videos/02_02_1.mp4,Does the person open their hand slower the first time compared to the second time?,yes,No,no,0,0 8 16 23 31 39 47 55 62 70 78 86 94 101 109 117,,,qwen3_vl_4b_mbhuman_uniform16_shuf0.json
uniform,16,shuffled_frames,12,3,videos/02_03_0.mp4,Does the person press the pillow faster the first time compared to the second time?,yes,No,no,0,0 9 19 28 38 47 57 66 76 85 95 104 114 123 133 142,,,qwen3_vl_4b_mbhuman_uniform16_shuf0.json
uniform,16,shuffled_frames,13,3,videos/02_03_1.mp4,Does the person press the pillow faster the first time compared to the second time?,no,No,no,1,0 9 19 28 38 47 57 66 76 85 95 104 114 123 133 142,,,qwen3_vl_4b_mbhuman_uniform16_shuf0.json
uniform,16,shuffled_frames,14,3,videos/02_03_0.mp4,Does the person press the pillow slower the first time compared to the second time?,no,No,no,1,0 9 19 28 38 47 57 66 76 85 95 104 114 123 133 142,,,qwen3_vl_4b_mbhuman_uniform16_shuf0.json
uniform,16,shuffled_frames,15,3,videos/02_03_1.mp4,Does the person press the pillow slower the first time compared to the second time?,yes,No,no,0,0 9 19 28 38 47 57 66 76 85 95 104 114 123 133 142,,,qwen3_vl_4b_mbhuman_uniform16_shuf0.json
uniform,16,shuffled_frames,16,4,videos/02_04_0.mp4,"Once off the ramp, does the ball move faster the first time compared to the second time?",yes,No,no,0,0 5 11 16 22 27 33 38 44 49 55 60 66 71 77 82,,,qwen3_vl_4b_mbhuman_uniform16_shuf0.json
