model,dataset,sampler,num_frames,n_items,n_instances,I_Acc,I_Acc_lo,I_Acc_hi,Q_Acc,V_Acc,Acc,yes_rate,TP,FP,FN,TN,invalid,sensitivity,specificity,youden_J,J_lo,J_hi,z_I_Acc_vs_chance,z_Acc_vs_chance
Qwen3-VL-4B,timeblind,uniform,1,1200,600,1.5,0.79,2.83,5.0,20.42,49.17,8.42,43,58,557,542,0,7.17,90.33,-2.5,-5.64,0.64,-4.81,-0.82
Qwen3-VL-4B,timeblind,uniform,4,1200,600,12.33,9.94,15.21,20.75,37.17,58.58,27.42,203,126,397,474,0,33.83,79.0,12.83,7.84,17.83,6.16,8.41
Qwen3-VL-4B,timeblind,uniform,8,1200,600,18.17,15.29,21.45,27.33,43.33,62.12,31.5,251,127,349,473,0,41.83,78.83,20.67,15.54,25.79,12.06,11.88
Qwen3-VL-4B,timeblind,uniform,16,1200,600,23.67,20.44,27.23,31.58,46.75,64.25,35.75,284,145,316,455,0,47.33,75.83,23.17,17.9,28.43,17.62,13.96
Qwen3-VL-4B,timeblind,uniform,24,1200,600,24.67,21.39,28.27,33.92,48.33,65.33,37.25,301,146,299,454,0,50.17,75.67,25.83,20.56,31.11,18.64,15.02
Qwen3-VL-4B,timeblind,random,1,1200,600,2.67,1.65,4.29,7.83,23.67,51.5,11.33,73,63,527,537,0,12.17,89.5,1.67,-1.92,5.25,-3.63,1.47
Qwen3-VL-4B,timeblind,random,4,1200,600,10.5,8.29,13.21,18.5,35.0,56.92,24.58,178,117,422,483,0,29.67,80.5,10.17,5.33,15.01,4.3,6.78
Qwen3-VL-4B,timeblind,random,8,1200,600,15.33,12.67,18.44,26.33,41.5,61.33,30.42,239,126,361,474,0,39.83,79.0,18.83,13.74,23.93,9.19,11.1
Qwen3-VL-4B,timeblind,random,16,1200,600,22.33,19.18,25.84,32.58,46.42,64.46,35.0,282,138,318,462,0,47.0,77.0,24.0,18.78,29.22,16.28,14.17
Qwen3-VL-4B,timeblind,random,24,1200,600,23.67,20.44,27.23,34.42,47.58,65.25,37.0,297,147,303,453,0,49.5,75.5,25.0,19.72,30.28,17.62,14.94
Qwen3-VL-4B,timeblind,hornet,1,1200,600,2.17,1.27,3.67,6.42,23.25,51.04,8.67,57,47,543,553,0,9.5,92.17,1.67,-1.52,4.85,-4.13,1.02
Qwen3-VL-4B,timeblind,hornet,4,1200,600,4.33,2.97,6.27,11.0,25.92,53.12,12.92,89,66,511,534,0,14.83,89.0,3.83,0.04,7.62,-1.94,3.06
Qwen3-VL-4B,timeblind,hornet,8,1200,600,7.67,5.8,10.08,16.08,31.33,55.96,18.17,132,86,468,514,0,22.0,85.67,7.67,3.33,12.01,1.43,5.84
Qwen3-VL-4B,timeblind,hornet,16,1200,600,14.33,11.76,17.36,24.42,38.5,60.0,25.17,196,106,404,494,0,32.67,82.33,15.0,10.16,19.84,8.18,9.8
Qwen3-VL-4B,timeblind,hornet,24,1200,600,20.0,16.99,23.39,31.17,44.0,63.71,29.92,245,114,355,486,0,40.83,81.0,21.83,16.8,26.87,13.91,13.43
