model,dataset,sampler,num_frames,n,Acc,Acc_lo,Acc_hi,invalid,short_Acc,medium_Acc,long_Acc,majority_baseline,chance
Qwen3-VL-4B,videomme,uniform,1,2700,41.56,39.71,43.43,2,46.89,39.56,38.22,27.22,25.0
Qwen3-VL-4B,videomme,uniform,4,2700,48.63,46.75,50.52,0,57.11,45.44,43.33,27.22,25.0
Qwen3-VL-4B,videomme,uniform,8,2700,52.81,50.93,54.69,0,63.89,49.44,45.11,27.22,25.0
Qwen3-VL-4B,videomme,uniform,16,2700,56.63,54.75,58.49,0,67.78,53.56,48.56,27.22,25.0
Qwen3-VL-4B,videomme,uniform,24,2700,59.67,57.8,61.5,0,72.89,56.56,49.56,27.22,25.0
Qwen3-VL-4B,videomme,random,1,2700,43.96,42.1,45.84,0,49.0,42.33,40.56,27.22,25.0
Qwen3-VL-4B,videomme,random,4,2700,50.93,49.04,52.81,0,57.44,50.44,44.89,27.22,25.0
Qwen3-VL-4B,videomme,random,8,2700,52.56,50.67,54.43,0,61.0,50.89,45.78,27.22,25.0
Qwen3-VL-4B,videomme,random,16,2700,55.3,53.41,57.16,1,67.22,53.0,45.67,27.22,25.0
Qwen3-VL-4B,videomme,random,24,2700,57.81,55.94,59.67,1,68.67,55.22,49.56,27.22,25.0
Qwen3-VL-4B,videomme,hornet,1,2700,43.15,41.29,45.02,2,46.78,41.22,41.44,27.22,25.0
Qwen3-VL-4B,videomme,hornet,4,2700,46.04,44.16,47.92,0,50.44,44.78,42.89,27.22,25.0
Qwen3-VL-4B,videomme,hornet,8,2700,49.26,47.38,51.14,0,54.33,48.67,44.78,27.22,25.0
Qwen3-VL-4B,videomme,hornet,16,2700,53.59,51.71,55.47,0,61.0,54.11,45.67,27.22,25.0
Qwen3-VL-4B,videomme,hornet,24,2700,55.89,54.01,57.75,0,65.22,55.0,47.44,27.22,25.0
Qwen3-VL-4B,videomme,f2c,1,2700,49.81,47.93,51.7,1,57.33,46.44,45.67,27.22,25.0
Qwen3-VL-4B,videomme,f2c,4,2700,48.74,46.86,50.63,1,56.0,45.56,44.67,27.22,25.0
Qwen3-VL-4B,videomme,f2c,8,2700,52.48,50.6,54.36,0,61.44,49.33,46.67,27.22,25.0
Qwen3-VL-4B,videomme,f2c,16,2700,55.74,53.86,57.6,0,66.0,53.22,48.0,27.22,25.0
Qwen3-VL-4B,videomme,f2c,24,2700,57.78,55.9,59.63,0,70.11,54.22,49.0,27.22,25.0
