model,dataset,sampler,num_frames,n_items,n_instances,I_Acc,I_Acc_lo,I_Acc_hi,Q_Acc,V_Acc,Acc,yes_rate,TP,FP,FN,TN,invalid,sensitivity,specificity,youden_J,J_lo,J_hi,z_I_Acc_vs_chance,z_Acc_vs_chance
Qwen3-VL-4B,mbhuman,uniform,1,240,60,0.0,-0.0,6.02,0.0,0.83,49.17,1.67,1,3,119,117,0,0.83,97.5,-1.67,-4.9,1.57,-2.0,-0.26
Qwen3-VL-4B,mbhuman,uniform,4,240,60,6.67,2.62,15.93,14.17,11.67,54.17,18.33,27,17,93,103,0,22.5,85.83,8.33,-1.4,18.07,0.13,1.29
Qwen3-VL-4B,mbhuman,uniform,8,240,60,8.33,3.61,18.07,21.67,19.17,58.33,28.33,44,24,76,96,0,36.67,80.0,16.67,5.46,27.87,0.67,2.58
Qwen3-VL-4B,mbhuman,uniform,16,240,60,6.67,2.62,15.93,17.5,16.67,56.67,28.33,42,26,78,94,0,35.0,78.33,13.33,2.06,24.61,0.13,2.07
Qwen3-VL-4B,mbhuman,uniform,24,240,60,3.33,0.92,11.36,18.33,18.33,57.5,28.33,43,25,77,95,0,35.83,79.17,15.0,3.76,26.24,-0.93,2.32
Qwen3-VL-4B,mbhuman,random,1,240,60,0.0,-0.0,6.02,1.67,2.5,50.42,5.42,7,6,113,114,0,5.83,95.0,0.83,-4.89,6.56,-2.0,0.13
Qwen3-VL-4B,mbhuman,random,4,240,60,0.0,-0.0,6.02,10.83,10.0,54.58,18.75,28,17,92,103,0,23.33,85.83,9.17,-0.64,18.97,-2.0,1.42
Qwen3-VL-4B,mbhuman,random,8,240,60,0.0,-0.0,6.02,16.67,15.0,55.83,25.83,38,24,82,96,0,31.67,80.0,11.67,0.69,22.64,-2.0,1.81
Qwen3-VL-4B,mbhuman,random,16,240,60,8.33,3.61,18.07,17.5,18.33,57.08,23.75,37,20,83,100,0,30.83,83.33,14.17,3.55,24.78,0.67,2.19
Qwen3-VL-4B,mbhuman,random,24,240,60,6.67,2.62,15.93,20.0,20.83,58.33,27.5,43,23,77,97,0,35.83,80.83,16.67,5.57,27.77,0.13,2.58
Qwen3-VL-4B,mbhuman,hornet,1,240,60,0.0,-0.0,6.02,0.0,0.83,49.58,1.25,1,2,119,118,0,0.83,98.33,-0.83,-3.64,1.98,-2.0,-0.13
Qwen3-VL-4B,mbhuman,hornet,4,240,60,0.0,-0.0,6.02,1.67,1.67,49.58,2.92,3,4,117,116,0,2.5,96.67,-0.83,-5.09,3.42,-2.0,-0.13
