model,dataset,sampler,num_frames,n,Acc,Acc_lo,Acc_hi,invalid,short_Acc,medium_Acc,long_Acc,majority_baseline,chance
Qwen3-VL-4B,videomme,uniform,1,2700,41.56,39.71,43.43,2,46.89,39.56,38.22,27.22,25.0
Qwen3-VL-4B,videomme,uniform,4,2700,48.63,46.75,50.52,0,57.11,45.44,43.33,27.22,25.0
Qwen3-VL-4B,videomme,uniform,8,2700,52.81,50.93,54.69,0,63.89,49.44,45.11,27.22,25.0
Qwen3-VL-4B,videomme,uniform,16,2700,56.63,54.75,58.49,0,67.78,53.56,48.56,27.22,25.0
Qwen3-VL-4B,videomme,uniform,24,2700,59.67,57.8,61.5,0,72.89,56.56,49.56,27.22,25.0
Qwen3-VL-4B,videomme,random,1,2700,43.96,42.1,45.84,0,49.0,42.33,40.56,27.22,25.0
Qwen3-VL-4B,videomme,random,4,2700,50.93,49.04,52.81,0,57.44,50.44,44.89,27.22,25.0
Qwen3-VL-4B,videomme,random,8,2700,52.56,50.67,54.43,0,61.0,50.89,45.78,27.22,25.0
Qwen3-VL-4B,videomme,random,16,2700,55.3,53.41,57.16,1,67.22,53.0,45.67,27.22,25.0
Qwen3-VL-4B,videomme,random,24,2700,57.81,55.94,59.67,1,68.67,55.22,49.56,27.22,25.0
Qwen3-VL-4B,videomme,hornet,1,2700,43.15,41.29,45.02,2,46.78,41.22,41.44,27.22,25.0
Qwen3-VL-4B,videomme,hornet,4,2700,46.04,44.16,47.92,0,50.44,44.78,42.89,27.22,25.0
Qwen3-VL-4B,videomme,hornet,8,2700,49.26,47.38,51.14,0,54.33,48.67,44.78,27.22,25.0
Qwen3-VL-4B,videomme,hornet,16,2700,53.59,51.71,55.47,0,61.0,54.11,45.67,27.22,25.0
Qwen3-VL-4B,videomme,hornet,24,2700,55.89,54.01,57.75,0,65.22,55.0,47.44,27.22,25.0
Qwen3-VL-4B,videomme,f2c,1,2700,49.81,47.93,51.7,1,57.33,46.44,45.67,27.22,25.0
Qwen3-VL-4B,videomme,f2c,4,2700,48.74,46.86,50.63,1,56.0,45.56,44.67,27.22,25.0
Qwen3-VL-4B,videomme,f2c,8,2700,52.48,50.6,54.36,0,61.44,49.33,46.67,27.22,25.0
Qwen3-VL-4B,videomme,f2c,16,2700,55.74,53.86,57.6,0,66.0,53.22,48.0,27.22,25.0
Qwen3-VL-4B,videomme,f2c,24,2700,57.78,55.9,59.63,0,70.11,54.22,49.0,27.22,25.0
Eagle2.5-8B,videomme,uniform,1,2700,47.41,45.53,49.29,0,47.67,47.44,47.11,27.22,25.0
Eagle2.5-8B,videomme,uniform,4,2700,54.52,52.64,56.39,0,60.67,52.11,50.78,27.22,25.0
Eagle2.5-8B,videomme,uniform,8,2700,58.85,56.98,60.69,0,69.11,56.0,51.44,27.22,25.0
Eagle2.5-8B,videomme,uniform,16,2700,62.22,60.38,64.03,0,73.33,60.33,53.0,27.22,25.0
Eagle2.5-8B,videomme,uniform,24,2700,65.44,63.63,67.22,0,77.0,63.11,56.22,27.22,25.0
Eagle2.5-8B,videomme,random,1,2700,50.93,49.04,52.81,0,54.44,50.11,48.22,27.22,25.0
Eagle2.5-8B,videomme,random,4,2700,54.7,52.82,56.57,0,60.56,53.89,49.67,27.22,25.0
Eagle2.5-8B,videomme,random,8,2700,59.52,57.65,61.36,0,66.0,59.11,53.44,27.22,25.0
Eagle2.5-8B,videomme,random,16,2700,61.3,59.44,63.12,0,70.22,59.11,54.56,27.22,25.0
Eagle2.5-8B,videomme,random,24,2700,63.04,61.2,64.84,0,73.0,60.89,55.22,27.22,25.0
Eagle2.5-8B,videomme,hornet,1,2700,48.63,46.75,50.52,0,51.11,46.78,48.0,27.22,25.0
Eagle2.5-8B,videomme,hornet,4,2700,52.78,50.89,54.66,0,56.67,51.11,50.56,27.22,25.0
Eagle2.5-8B,videomme,hornet,8,2700,56.93,55.05,58.78,0,64.11,54.56,52.11,27.22,25.0
Eagle2.5-8B,videomme,hornet,16,2700,61.63,59.78,63.45,0,71.33,59.33,54.22,27.22,25.0
Eagle2.5-8B,videomme,hornet,24,2700,64.22,62.4,66.01,0,74.89,61.0,56.78,27.22,25.0
Motion-o (7B),videomme,uniform,1,2700,41.89,40.04,43.76,12,46.67,40.56,38.44,27.22,25.0
Motion-o (7B),videomme,uniform,4,2700,48.3,46.42,50.18,0,56.44,45.78,42.67,27.22,25.0
Motion-o (7B),videomme,uniform,8,2700,51.7,49.82,53.58,0,59.56,50.67,44.89,27.22,25.0
Motion-o (7B),videomme,uniform,16,2700,54.89,53.01,56.76,1,64.78,53.11,46.78,27.22,25.0
Motion-o (7B),videomme,uniform,24,2700,56.89,55.01,58.75,0,68.67,54.89,47.11,27.22,25.0
