word,side,dominance
farther,MotionBlind,10.0
strip,TimeBlind,9.5
how,TimeBlind,9.0
cup,MotionBlind,7.0
ball,MotionBlind,7.0
push,MotionBlind,6.5
clockwise,MotionBlind,5.0
turns,TimeBlind,4.5
faster,MotionBlind,4.5
slower,MotionBlind,4.0
bottom,TimeBlind,4.0
roll,TimeBlind,4.0
away,MotionBlind,4.0
spun,MotionBlind,4.0
closer,MotionBlind,4.0
magnitude,MotionBlind,3.5
color,TimeBlind,3.5
counter,MotionBlind,3.5
gradually,TimeBlind,3.5
yellow,TimeBlind,3.5
toy,MotionBlind,3.0
over,TimeBlind,3.0
turn,TimeBlind,3.0
left,TimeBlind,3.0
right,TimeBlind,3.0
top,TimeBlind,3.0
racket,TimeBlind,3.0
pen,MotionBlind,3.0
further,MotionBlind,3.0
smaller,TimeBlind,2.5
larger,TimeBlind,2.5
drawer,MotionBlind,2.5
pulled,MotionBlind,2.5
walking,MotionBlind,2.0
less,MotionBlind,2.0
getting,MotionBlind,2.0
person's,MotionBlind,2.0
book,TimeBlind,1.8
spinning,TimeBlind,1.8
car,MotionBlind,1.8
sink,MotionBlind,1.8
