benchmark,i,x,y
TimeBlind,0,0.51888,0.38849
TimeBlind,1,0.57314,0.43538
TimeBlind,2,0.86241,0.30286
TimeBlind,3,0.87582,0.54795
TimeBlind,4,0.75263,0.35831
TimeBlind,5,0.76842,0.33761
TimeBlind,6,0.60351,0.30923
TimeBlind,7,0.61028,0.32022
TimeBlind,8,0.58697,0.19012
TimeBlind,9,0.58270,0.13450
TimeBlind,10,0.66641,0.44278
TimeBlind,11,0.65541,0.43609
TimeBlind,12,0.50245,0.13272
TimeBlind,13,0.51514,0.19714
TimeBlind,14,0.67714,0.25951
TimeBlind,15,0.63860,0.23053
TimeBlind,16,0.49845,0.22238
TimeBlind,17,0.30832,0.35169
TimeBlind,18,0.48103,0.36554
TimeBlind,19,0.48668,0.32748
TimeBlind,20,0.57508,0.44544
TimeBlind,21,0.61462,0.43800
TimeBlind,22,0.78161,0.61196
TimeBlind,23,0.78199,0.63174
TimeBlind,24,0.60898,0.25113
TimeBlind,25,0.62404,0.22323
TimeBlind,26,0.51314,0.40097
TimeBlind,27,0.58242,0.27575
TimeBlind,28,0.59916,0.33679
TimeBlind,29,0.60145,0.30490
TimeBlind,30,0.58064,0.45021
TimeBlind,31,0.58353,0.48152
TimeBlind,32,0.40378,0.33208
TimeBlind,33,0.41279,0.32165
TimeBlind,34,0.82578,0.52592
TimeBlind,35,0.82182,0.52994
TimeBlind,36,0.55676,0.17426
TimeBlind,37,0.55813,0.19677
TimeBlind,38,0.56676,0.47698
TimeBlind,39,0.55093,0.58675
TimeBlind,40,0.56771,0.41638
TimeBlind,41,0.57867,0.37243
TimeBlind,42,0.70301,0.27179
TimeBlind,43,0.69517,0.29839
TimeBlind,44,0.66907,0.43105
TimeBlind,45,0.65858,0.42559
TimeBlind,46,0.59773,0.47729
TimeBlind,47,0.60067,0.41877
TimeBlind,48,0.58604,0.44356
TimeBlind,49,0.61436,0.30214
TimeBlind,50,0.58281,0.21999
TimeBlind,51,0.57554,0.20560
TimeBlind,52,0.73405,0.35814
TimeBlind,53,0.75091,0.40158
TimeBlind,54,0.77717,0.41393
TimeBlind,55,0.77098,0.43766
TimeBlind,56,0.59703,0.24321
TimeBlind,57,0.60376,0.26627
TimeBlind,58,0.56045,0.27138
TimeBlind,59,0.58879,0.21682
TimeBlind,60,0.47405,0.25542
TimeBlind,61,0.47557,0.25938
TimeBlind,62,0.84273,0.53397
TimeBlind,63,0.83602,0.57693
TimeBlind,64,0.82606,0.46457
TimeBlind,65,0.75245,0.39804
TimeBlind,66,0.62584,0.45597
TimeBlind,67,0.77827,0.56070
TimeBlind,68,0.52570,0.36741
TimeBlind,69,0.55424,0.36455
